season,team,player_id,player_name,position,position_group,team_games,defensive_games,defensive_game_appearance_rate,defensive_impact,tackles,solo_tackles,tackles_for_loss,sacks,qb_hurries,passes_defended,interceptions,fumble_recoveries
2020,Air Force,4693815,Ethan Erickson,LB,lb,6,5,0.8333333333333334,-0.09572145118092484,21.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0
2020,Air Force,4580556,George Silvanic,DT,dl_edge,6,6,1.0,1.0601101112890563,34.0,11.0,4.5,2.5,1.0,0.0,0.0,0.0
2020,Air Force,4360720,Grant Donaldson,LB,lb,6,5,0.8333333333333334,0.10893211809753195,20.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0
2020,Air Force,4693814,Haaziq Daniels,QB,,6,2,0.3333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4693828,Hayden Isenhart,DE,dl_edge,6,1,0.16666666666666666,-1.0854591018798279,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4500446,Jace Waters,LB,lb,6,1,0.16666666666666666,-0.9719992207262818,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4700119,Jadon Pearson,LB,lb,6,2,0.3333333333333333,-0.7058032425892611,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4711159,Jake Stern,,,6,1,0.16666666666666666,,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4705675,Jayd Thiergood,DE,dl_edge,6,3,0.5,-0.6783545819723625,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
2020,Air Force,4578890,Jayden Goodwin,S,db,6,2,0.3333333333333333,-0.29585108539805854,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
2020,Air Force,4696119,Johnathan Youngblood,LB,lb,6,5,0.8333333333333334,-0.1698683678104946,22.0,11.0,1.5,0.0,2.0,0.0,0.0,0.0
2020,Air Force,4693812,Jordan Gidrey,RB,,6,1,0.16666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4360736,Joseph Carlson,P,,6,3,0.5,,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020,Air Force,4360734,Joseph Woodring,NT,dl_edge,6,3,0.5,-0.582129554262486,7.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4360716,Joshua Stoner,RB,,6,1,0.16666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4360719,Kadin Remsberg,RB,,6,1,0.16666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4693827,Kalawai'a Pescaia,G,,6,1,0.16666666666666666,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
2020,Air Force,4697149,Kupono Blake,,,6,2,0.3333333333333333,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4571651,Matthew Anderson,DB,db,6,1,0.16666666666666666,-0.8266187931438083,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4697231,Matthew Malloy,LB,lb,6,3,0.5,-0.09551793130939354,9.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0
2020,Air Force,4385798,Matthew Murla,FB,,6,1,0.16666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4693823,McKenly O'Neal,DT,dl_edge,6,1,0.16666666666666666,-0.35743877750837744,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4705674,Mckenly Oneal,DT,dl_edge,6,1,0.16666666666666666,-0.9776567009077033,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4693817,Micah Davis,WR,,6,1,0.16666666666666666,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4360732,Michael Purcell,DE,dl_edge,6,5,0.8333333333333334,-0.028393237936854655,10.0,5.0,1.5,0.0,1.0,0.0,0.0,0.0
2020,Air Force,4697150,Nasir Rashid,,,6,1,0.16666666666666666,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4571657,Noah Bush,LB,lb,6,2,0.3333333333333333,-0.6524021669360344,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4360730,Nolan Laufenberg,OL,,6,1,0.16666666666666666,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4360722,Parker Noren,LB,lb,6,6,1.0,-0.02981752794074538,29.0,18.0,0.0,0.0,1.0,1.0,0.0,1.0
2020,Air Force,4705679,Patrick Dahlen,LB,lb,6,1,0.16666666666666666,-0.9719992207262818,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4705444,PJ Ramsey,LB,lb,6,1,0.16666666666666666,-0.9719992207262818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4405861,Tevye Schuettpelz-Rohl,PK,,6,1,0.16666666666666666,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4697147,Tim Mcclendon,LB,lb,6,2,0.3333333333333333,-0.8247143820439233,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4571650,Timothy Jackson,FB,,6,2,0.3333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4697148,Tj Love,DT,dl_edge,6,1,0.16666666666666666,-1.0854591018798279,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Air Force,4693818,Will Trawick,LB,lb,6,4,0.6666666666666666,-0.017397715754917237,26.0,7.0,1.0,0.5,1.0,0.0,0.0,1.0
2020,Air Force,4697089,Zion Kelly,CB,db,6,4,0.6666666666666666,-0.3359521617478961,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
2020,Akron,4427026,Adetutu Daranijo,S,db,6,5,0.8333333333333334,-0.30131312868428073,22.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4428810,A.J. Watts,DB,db,6,6,1.0,1.1445557302661546,29.0,22.0,0.0,0.0,0.0,2.0,2.0,0.0
2020,Akron,4239108,Angelo Howze,DL,dl_edge,6,1,0.16666666666666666,-1.0854591018798279,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4361118,Brandon Bischof,LB,lb,6,6,1.0,-0.41123356522454413,27.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4686869,Bryce Profitt,WR,,6,1,0.16666666666666666,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4568353,Bryce Wilson,DL,dl_edge,6,4,0.6666666666666666,-0.7168802584865397,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4240130,Bubba Arslanian,LB,lb,6,6,1.0,0.897775005062291,72.0,46.0,3.5,3.0,0.0,0.0,0.0,1.0
2020,Akron,4260315,Cameron Lyons,LS,,6,1,0.16666666666666666,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4686851,Charles Amankwaa,DB,db,6,3,0.5,-0.3359521617478961,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0
2020,Akron,4266602,Chukwudifu Ogbonna,CB,db,6,2,0.3333333333333333,-0.6585594701823877,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4568352,Corey Thomas Jr.,DB,db,6,4,0.6666666666666666,-0.4966923661003221,11.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0
2020,Akron,4361955,Cory Smigel,PK,,6,1,0.16666666666666666,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4361117,Eric Bentley,DL,dl_edge,6,4,0.6666666666666666,-0.401854020790139,10.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0
2020,Akron,4373397,Gavin Blunt,WR,,6,1,0.16666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020,Akron,4686870,George Qualls Jr.,WR,,6,1,0.16666666666666666,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4701280,Jamason Jodway,RB,,6,1,0.16666666666666666,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4594475,Janirr Wade,DL,dl_edge,6,3,0.5,-0.6114838873599093,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4035046,Ja'Quize Cross,DL,dl_edge,6,2,0.3333333333333333,0.062163919877971555,8.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0
2020,Akron,4258185,Jaylen Kelly-Powell,S,db,6,5,0.8333333333333334,0.15263118200462525,18.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0
2020,Akron,4257370,Jeremiah Knight,WR,,6,2,0.3333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4038752,Jerry Fitschen,PK,,6,3,0.5,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4578332,John Mitchell,DL,dl_edge,6,5,0.8333333333333334,-0.3329097522433783,10.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
2020,Akron,4240144,Jordyn Riley,DB,db,6,4,0.6666666666666666,0.08164080100819703,14.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0
2020,Akron,4430392,Julian Richardson,LB,lb,6,6,1.0,0.5753642282019845,18.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0
2020,Akron,4686863,Kendal Marshall,DL,dl_edge,6,1,0.16666666666666666,-1.0854591018798279,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4428386,Kyle Romenick,P,,6,1,0.16666666666666666,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4373402,Logan Hawkins,DL,dl_edge,6,3,0.5,-0.8418417377484894,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4568333,Marco Donatelli,LB,lb,6,1,0.16666666666666666,-0.9719992207262818,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4241898,Maverick Wolfley,TE,,6,1,0.16666666666666666,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4568347,Michael Scott,LB,lb,6,3,0.5,-0.14293305883219776,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
2020,Akron,4576178,Michael Snowden,LB,lb,6,2,0.3333333333333333,-0.6097622315249956,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4568328,Michiah Burton,RB,,6,1,0.16666666666666666,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4432276,MyJaden Horton,S,db,6,1,0.16666666666666666,-0.6585594701823877,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4608595,Nate Williams,OL,,6,1,0.16666666666666666,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4363075,Nazir Sy,DL,dl_edge,6,4,0.6666666666666666,-0.3582501971165046,9.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
2020,Akron,4427777,Quevan Lawson,DL,dl_edge,6,1,0.16666666666666666,-0.6708118297946037,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4568329,Randy Cochran Jr.,CB,db,6,4,0.6666666666666666,-0.05231902993360249,17.0,10.0,1.0,1.0,0.0,1.0,0.0,1.0
2020,Akron,4240137,Reggie Corner Jr.,LB,lb,6,2,0.3333333333333333,-0.6774295433615649,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4613073,Ronald Jackson Jr.,CB,db,6,2,0.3333333333333333,-0.7596061123625424,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4568326,Ryan Beckman,OL,,6,1,0.16666666666666666,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4686865,Ryan McClain,LB,lb,6,4,0.6666666666666666,-0.37706844256646976,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4568345,Shawn Naim,WR,,6,2,0.3333333333333333,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4366038,Teon Dollard,RB,,6,1,0.16666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
