portal_index,season,player_name,normalized_player_name,origin,destination,destination_team_id,destination_team_name,destination_match_status,position,portal_position_group,position_semantics,transfer_date,cutoff_status,in_model_relevant_population,defensive_candidate,identity_join_method,identity_status,experience_status,impact_status,prior_position,prior_position_group,prior_player_id,prior_team_games,prior_defensive_games,prior_defensive_experience,prior_defensive_impact,prior_stats
6391,2023,Asher Alberding,asher alberding,North Texas,California,25,California,exact_normalized_name,TE,,non_defensive,2022-12-20,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6392,2023,Zachary Lovett,zachary lovett,Missouri,Iowa State,66,Iowa State,exact_normalized_name,LB,lb,defensive,2022-12-05,on_or_before_cutoff,True,True,normalized_name_source_team,legitimate_zero_defensive_participation,legitimate_zero_defensive_participation,legitimate_zero_defensive_participation,LB,lb,4570742,1,0,0.0,0.0,{}
6393,2023,Austin Dean,austin dean,Rutgers,Georgia Tech,59,Georgia Tech,exact_normalized_name,LB,lb,defensive,2022-12-05,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,LB,lb,4590562,12,7,0.5833333333333334,-0.3238840691394619,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 6.0, ""tackles"": 18.0, ""tackles_for_loss"": 0.0}"
6394,2023,Taijh Alston,taijh alston,West Virginia,Colorado,38,Colorado,exact_normalized_name,EDGE,dl_edge,defensive,2022-12-16,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,DE,dl_edge,4239389,12,7,0.5833333333333334,0.5264692661760206,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 2.0, ""solo_tackles"": 7.0, ""tackles"": 18.0, ""tackles_for_loss"": 3.0}"
6395,2023,Travis Gray,travis gray,Colorado,New Mexico,167,New Mexico,exact_normalized_name,OT,,non_defensive,2023-04-26,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6396,2023,Sterling Berkhalter,sterling berkhalter,North Carolina A&T,Cincinnati,2132,Cincinnati,exact_normalized_name,WR,,non_defensive,2022-12-22,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6397,2023,Ian Shewell,ian shewell,New Mexico,Arizona State,9,Arizona State,exact_normalized_name,DL,dl_edge,defensive,2022-12-13,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,DL,dl_edge,4612402,12,6,0.5,0.38161946398184626,"{""fumble_recoveries"": 0.0, ""interceptions"": 1.0, ""passes_defended"": 0.0, ""qb_hurries"": 1.0, ""sacks"": 1.0, ""solo_tackles"": 2.0, ""tackles"": 8.0, ""tackles_for_loss"": 2.0}"
6398,2023,Savion Washington,savion washington,Kent State,Colorado,38,Colorado,exact_normalized_name,OT,,non_defensive,2022-12-05,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6399,2023,Drake Metcalf,drake metcalf,Stanford,UCF,2116,UCF,exact_normalized_name,IOL,,non_defensive,2022-12-01,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6400,2023,Jeff Sims,jeff sims,Georgia Tech,Nebraska,158,Nebraska,exact_normalized_name,QB,,non_defensive,2022-12-05,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6401,2023,Kelan Robinson,kelan robinson,Kansas,East Carolina,151,East Carolina,exact_normalized_name,WR,,non_defensive,2023-04-15,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6402,2023,Briton Allen,briton allen,USC,Utah,254,Utah,exact_normalized_name,S,db,defensive,2023-01-11,on_or_before_cutoff,True,True,normalized_name_source_team,legitimate_zero_defensive_participation,legitimate_zero_defensive_participation,legitimate_zero_defensive_participation,DB,db,4426453,1,0,0.0,0.0,{}
6403,2023,Derek Ferraro,derek ferraro,Richmond,Texas A&M,245,Texas A&M,exact_normalized_name,OT,,non_defensive,2023-01-31,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6404,2023,Jalen John,jalen john,Arizona,Massachusetts,113,Massachusetts,exact_normalized_name,RB,,non_defensive,2022-12-06,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6405,2023,Nicholas Barr-Mira,nicholas barr-mira,UCLA,Mississippi State,344,Mississippi State,exact_normalized_name,K,,non_defensive,2022-12-03,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6406,2023,Phaizon Wilson,phaizon wilson,Grambling,Grambling,,,not_in_fbs,WR,,non_defensive,2023-04-25,on_or_before_cutoff,False,False,none,not_in_scope,not_in_scope,not_in_scope,,,,,,,,{}
6407,2023,Roderick Hopes,roderick hopes,Tulsa,Louisiana Tech,2348,Louisiana Tech,exact_normalized_name,S,db,defensive,2022-12-05,on_or_before_cutoff,True,True,none,identity_resolution_failure,identity_resolution_failure,identity_resolution_failure,,,,,,,,{}
6408,2023,Adari Haulcy,adari haulcy,New Mexico,Houston,248,Houston,exact_normalized_name,S,db,defensive,2022-12-09,on_or_before_cutoff,True,True,none,identity_resolution_failure,identity_resolution_failure,identity_resolution_failure,,,,,,,,{}
