target_season,subdivision,team_id,team_name,lag1_rank_mean,lag1_rank_median,lag1_usable_systems,lag1_z_mean,lag2_rank_mean,lag2_rank_median,lag2_usable_systems,lag2_z_mean,lag3_rank_mean,lag3_rank_median,lag3_usable_systems,lag3_z_mean,long_run_rank_percentile_mean,long_run_z_mean,history_seasons
2026,fbs,96,Kentucky,62.41095890410959,62.0,73,-0.18251063243522039,66.96,64.0,75,-0.014907814266888888,42.148648648648646,41.0,74,-0.8069634706008374,0.4742696687683185,-0.11796138465134642,23
2026,fbs,97,Louisville,29.91780821917808,30.0,73,-1.2970599281049644,20.746666666666666,20.0,75,-1.7573762366027141,22.364864864864863,21.0,74,-1.6499333550555453,0.33110978332147306,-0.9069645454495856,23
2026,fbs,98,Western Kentucky,75.9041095890411,77.0,73,0.22704691778700253,88.90666666666667,91.0,75,0.68483436625193783,73.04054054054055,73.5,74,0.18912741100262487,0.61232702872496025,0.80335784843070224,18
2026,fbs,99,LSU,38.178082191780824,39.0,73,-0.97879907834982094,17.72,17.0,75,-1.952238163961808,12.41891891891892,12.0,74,-2.3340941633872148,0.12248049609523959,-2.5083035704194332,23
2026,fbs,103,Boston College,105.32876712328768,109.0,73,1.3267876443212427,52.82666666666667,52.0,75,-0.44733816711980534,69.77027027027027,69.0,74,0.08419331944529293,0.44937000788881026,-0.23206561021605915,23
2026,fbs,113,Massachusetts,136.0,136.0,73,5.6021188208797046,127.2,127.0,75,2.9821732442912263,123.28378378378379,123.0,74,2.6608587388795399,0.93312571160926672,3.4193180658178055,14
2026,fbs,120,Maryland,86.68493150684931,86.0,73,0.56782615541367476,77.14666666666666,74.0,75,0.30836906476151904,32.82432432432432,32.0,74,-1.1567856854593814,0.49492414186296385,-0.019119438675606636,23
2026,fbs,127,Michigan State,78.68493150684931,78.0,73,0.31557234143098872,72.94666666666667,75.0,75,0.16717390095259249,83.14864864864865,82.5,74,0.50852173431659475,0.34879206257028234,-0.87547858106066601,23
2026,fbs,130,Michigan,21.78082191780822,21.0,73,-1.7024326204416182,20.4,19.0,75,-1.8339222468410343,1.0675675675675675,1.0,74,-5.5049873879810489,0.21544610855071433,-1.82147752190871,23
2026,fbs,135,Minnesota,51.136986301369866,50.0,73,-0.53189366091761259,28.546666666666667,28.0,75,-1.3768087441755679,67.36486486486487,67.0,74,0.011169393117526596,0.41367902406642615,-0.38065917681170569,23
