season,prior_family,candidate,baseline,delta_nll,delta_crps,delta_expected_rank_mae,delta_median_rank_mae,delta_interval_80_coverage,delta_interval_80_width,delta_top5_brier,delta_top10_brier,delta_top25_brier,delta_mean_entropy,delta_mean_max_probability
2024,context,a,v1,0.002641778715803067,-3.4897864375733195e-05,-0.04067995283356396,-0.014925373134328623,-0.0017910447761193549,-0.17910447761193993,6.721927424912025e-05,0.00020523082040880321,4.026085544683346e-05,-0.0061928028301401206,0.00044170285894463285
2024,context,b,v1,-0.005865040375129915,-0.0004598365964520387,-0.10434877395466113,-0.12686567164179063,0.001293532338308423,-0.03731343283581978,-0.00015737534069948204,0.00019258799462273588,-0.00029358349131352116,-0.003112017914738363,0.00018291960227702353
2024,context,c,v1,-0.010037701135883648,-0.0006677694903551336,-0.16049748155853472,-0.20895522388059717,0.0027860696517412187,0.08955223880597174,-0.00023114028331387183,0.0001850008458093716,-0.0001769300483630918,0.0007152725822505701,-7.512512040051822e-05
2024,context,ypp_supported,v1,0.026976730336474297,0.0008138945523981402,0.23233423974425893,0.17910447761193993,-0.0050746268656717275,-0.35820895522387985,-0.0001951441250380541,-6.786304544756459e-05,0.0019328975585100085,-0.014458760562597206,0.0009191481058057269
2024,history,a,v1,0.006879249178096902,0.0002894409008825892,0.12377079424815918,0.1641791044776113,-0.00417910447761205,-0.2238805970149258,2.3219850429747994e-05,0.0001995089823065739,0.0003847612228685734,-0.007078846554045004,0.00045892335407694135
2024,history,b,v1,0.010153278826158463,0.0005425102318043287,0.25252818023771706,0.2910447761194028,-0.006666666666666599,-0.20149253731343109,-0.00030069966910599606,0.00018008855643883437,0.00022249828891406608,-0.006831341339364361,0.0004045247813259864
2024,history,c,v1,0.0060803963954771945,0.0002942878078700372,0.16398278827039547,0.14179104477611926,-0.002587064676616957,-0.09701492537313428,-0.0003399454116394312,0.00015429768685336354,0.0002029479612038424,-0.002759063044137644,0.00016625170023740893
2024,history,ypp_supported,v1,0.04373130391747759,0.0019680099139009616,0.4935313746128136,0.634328358208955,-0.017512437810945136,-0.5074626865671625,-9.381217788441941e-05,8.128300233069177e-05,0.002937436405001482,-0.016488741397073348,0.000997018476747047
2025,context,a,v1,0.012185076078922386,0.0003674374699491993,0.04898082334663556,0.014705882352940236,-0.002215954875100734,-0.22058823529411598,-8.921735313059719e-05,-7.136699871173723e-05,-0.00030194912171349966,-0.007746223169338595,0.000424803913657526
2025,context,b,v1,0.005948925530129046,3.567178937550347e-05,-0.02796338637876694,-0.0661764705882355,0.001208702659145855,-0.242647058823529,-0.00018306057880639352,-0.00037964662298500384,-0.0003142008038497339,-0.0060247438613254545,0.0003808056331438617
2025,context,c,v1,0.001478845239125448,-4.0908048495005844e-05,-0.04071631605441084,-0.036764705882353255,-0.0009065269943594467,-0.08823529411764497,-0.00014808310418092194,-0.000141801865875835,-0.0002173784602182878,-0.0009655598937365895,6.376222919166064e-05
2025,context,ypp_supported,v1,0.030195597195879387,0.000875788013997323,0.0957094285645308,0.14705882352941124,-0.01007252215954868,-0.7720588235294095,-7.741689771628094e-05,-0.00024755426487314564,-0.0006612404462667601,-0.026510116772134662,0.0012592141473363322
2025,history,a,v1,0.011626967807890853,0.0005062416821058173,0.09487632095611076,0.11029411764705888,-0.006345688960515683,-0.242647058823529,-0.00015496719628534756,-0.00010120297967226247,0.0006058954777815699,-0.008077574309301117,0.0004387923153243156
2025,history,b,v1,0.006770271494757729,0.0003244652092066376,0.088337034654689,0.11029411764705888,-0.004230459307010492,-0.25,-0.00018924715866605168,-0.0006613849848975993,0.0002983053060659907,-0.006688564207616654,0.0003765906876898456
2025,history,c,v1,0.0024654868244091688,0.00013671834366362975,0.043506813057443416,0.0661764705882355,-0.002719580983078229,-0.09558823529411953,-0.00018845196862638056,-0.000542014715411699,0.00010522682992400445,-0.0010820603056949096,3.271581576926724e-05
2025,history,ypp_supported,v1,0.05417818846912903,0.00257782478088062,0.515071416393102,0.6102941176470589,-0.02447622884770362,-0.882352941176471,8.690417973574371e-05,0.00029372363968691376,0.003228370195038431,-0.031022537082986634,0.0016362479296975693
