period,season,pairing,margin_band,site_control,overall_volume_control,n_games,mean_plays_diff,mean_plays_total,more_plays_rate,mean_play_residual,mean_rank_signal_location_shift,quality_slope,quality_spearman,next_margin_slope,next_margin_spearman
training_2004_2017,2004,fbs-fcs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,15,13.066666666666666,136.0,0.8,0.43532753753082354,0.1387573477858748,-0.0015379311945269629,0.07857142857142857,-6.505517809380911,0.010714285714285713
training_2004_2017,2005,fbs-fbs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,159,0.1069182389937107,143.44025157232704,0.4276729559748428,-0.04551356378752484,-0.024468436225524297,0.021397452477533475,0.08421776993639733,0.44370321113472133,0.0037726581955660116
training_2004_2017,2005,fbs-fbs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,83,-5.168674698795181,140.80722891566265,0.3373493975903614,-0.2567513204405265,-0.04423334530688126,-0.04363853026615941,-0.21640569245623606,-1.4811990227997618,-0.1063162008973498
training_2004_2017,2005,fbs-fbs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,167,-1.718562874251497,142.7005988023952,0.437125748502994,-0.1348618470044474,0.015237391025674512,0.01843052366361186,0.11447336467774534,-0.37614936450952563,-0.03249871499888605
training_2004_2017,2005,fbs-fbs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,119,5.243697478991597,138.9579831932773,0.6218487394957983,0.1561743844258532,0.04669155805138321,-0.015518210261375384,-0.07335137444808433,0.059565952017293054,0.0308050630587119
training_2004_2017,2005,fbs-fbs,<=-28,home/neutral included as a model covariate,plays_total included as a model covariate,42,-4.4523809523809526,138.26190476190476,0.3333333333333333,0.0556155366854101,-0.065902733205486,0.01724538634303298,0.03378980633660157,-0.8783261280943923,-0.036804348840917475
training_2004_2017,2005,fbs-fbs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,84,6.511904761904762,138.60714285714286,0.6428571428571429,0.016228731560657815,0.06273671149944164,0.028650747951979433,0.039161688771894305,1.1923251407563293,-0.0480272189103084
training_2004_2017,2005,fbs-fcs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,2,-12.5,140.5,0.5,-0.2964285819955269,-0.020729586430469404,,,,
training_2004_2017,2005,fbs-fcs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,14,4.142857142857143,137.57142857142858,0.6428571428571429,0.39630197485435936,0.07041800430462238,0.015207253122860037,0.04175824175824176,13.024302278128763,0.42464272120673824
training_2004_2017,2005,fbs-fcs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,17,9.588235294117647,133.58823529411765,0.7058823529411765,0.42791182066594474,0.12154860379873854,-0.02137202370897457,-0.13480392156862747,8.581362011265169,0.2993867284330168
