period,dimension,bin,control,lag,n_pairs,correlation,mean_product
evaluation,raw_elapsed_days,0-7d,observed,1,5626,-0.029326479181348702,-5.312895034605081
evaluation,raw_elapsed_days,22-56d,observed,1,286,-0.05446979563540981,-9.982996346283382
evaluation,raw_elapsed_days,22-56d,observed,2,1492,-0.02454024303993743,-4.532351805316588
evaluation,raw_elapsed_days,8-21d,observed,1,5682,0.012286067753845017,2.2765441489501415
evaluation,raw_elapsed_days,8-21d,observed,2,9052,0.001392168638996578,0.25188826790852065
training,demeaned_elapsed_days,0-7d,observed,1,12922,-0.08074514009983934,-13.73240193798874
training,demeaned_elapsed_days,22-56d,observed,1,757,-0.05220594607163641,-9.665650061284486
training,demeaned_elapsed_days,22-56d,observed,2,3282,-0.09810450368222173,-16.710194121184166
training,demeaned_elapsed_days,57-112d,observed,1,5,-0.694843867817872,-69.19675932165913
training,demeaned_elapsed_days,57-112d,observed,2,11,0.5237605649299742,37.95959591885292
training,demeaned_elapsed_days,8-21d,observed,1,12521,-0.055602293094845254,-9.46215118908408
training,demeaned_elapsed_days,8-21d,observed,2,20438,-0.08656189479203981,-14.720145567426822
training,raw_elapsed_days,0-7d,observed,1,12922,-0.015072466344865424,-2.754587273671698
training,raw_elapsed_days,22-56d,observed,1,757,-0.003751800399755499,-0.7658543517511351
training,raw_elapsed_days,22-56d,observed,2,3282,-0.026273468880499022,-4.780821651467971
training,raw_elapsed_days,57-112d,observed,1,5,-0.2372968626208954,2.9991053583961476
training,raw_elapsed_days,57-112d,observed,2,11,0.6624386524576169,96.71580901640205
training,raw_elapsed_days,8-21d,observed,1,12521,0.013421274071176747,2.44098615693434
training,raw_elapsed_days,8-21d,observed,2,20438,-0.01961826819815932,-3.5585742141772765
development,demeaned_game_count,lag1,observed,1,9789,-0.07601619325779568,-13.85994706857862
development,demeaned_game_count,lag2,observed,2,8801,-0.07891253971833413,-14.339223896843755
development,raw_game_count,lag1,observed,1,9789,0.00595697662202859,1.176068205260448
development,raw_game_count,lag2,observed,2,8801,0.0010612426568948374,0.20790195418336618
evaluation,demeaned_game_count,lag1,observed,1,11594,-0.07322535229887353,-12.544756063007762
evaluation,demeaned_game_count,lag2,observed,2,10544,-0.062485958473217154,-10.708305108818202
evaluation,raw_game_count,lag1,observed,1,11594,-0.009371172792994606,-1.7086562502493123
evaluation,raw_game_count,lag2,observed,2,10544,-0.002346499405542892,-0.4250925922253812
training,demeaned_game_count,lag1,observed,1,26205,-0.0679993276081468,-11.585139239618888
training,demeaned_game_count,lag2,observed,2,23731,-0.08799986832743757,-14.970950935809212
training,raw_game_count,lag1,observed,1,26205,-0.0011741234411734283,-0.2135449455025547
training,raw_game_count,lag2,observed,2,23731,-0.02029244057399241,-3.6811311175379307
