target_season,train_through,candidate,candidate_name,feature,standardized_location_coefficient,sign,magnitude,change_from_prior_fit,missingness_indicator_location_coefficient,standardized_scale_coefficient
2023,2022,R2,C10_transfer_production,transfer_net_prior_usage,-0.013941030373333954,negative,0.013941030373333954,-0.01906022128695544,0.0351919427567272,0.0
2024,2023,R0,C0_full,returning_pct_ppa,-0.16961080573561318,negative,0.16961080573561318,-0.015858458640374024,-0.0024165883782700155,0.0
2024,2023,R0,C0_full,returning_pct_passing_ppa,-0.02787608470477884,negative,0.02787608470477884,0.00038598348993139006,-0.002416588378268272,0.0
2024,2023,R0,C0_full,returning_pct_receiving_ppa,-0.06692518278213382,negative,0.06692518278213382,0.008943216972973206,-0.002416588378268272,0.0
2024,2023,R0,C0_full,returning_pct_rushing_ppa,-0.0011780058633410135,negative,0.0011780058633410135,-0.002131961781559337,-0.002416588378268272,0.0
2024,2023,R2,C10_transfer_production,returning_pct_ppa,-0.177248794781685,negative,0.177248794781685,-0.01781007935118417,-0.0024370535064237057,0.0
2024,2023,R2,C10_transfer_production,returning_pct_passing_ppa,-0.028011840880430162,negative,0.028011840880430162,0.0009185853234490692,-0.0024370535064237057,0.0
2024,2023,R2,C10_transfer_production,returning_pct_receiving_ppa,-0.06861499053454802,negative,0.06861499053454802,0.00785606447778786,-0.0024370535064237057,0.0
2024,2023,R2,C10_transfer_production,returning_pct_rushing_ppa,-0.0013174239903600935,negative,0.0013174239903600935,-0.0014869476435936993,-0.0024370535064269284,0.0
2024,2023,R2,C10_transfer_production,transfer_in_prior_usage_sum,-0.04735011906173507,negative,0.04735011906173507,0.005317152293559939,0.03665618253622701,0.0
2024,2023,R2,C10_transfer_production,transfer_net_prior_usage,-0.020144388344486994,negative,0.020144388344486994,-0.0062033579711530396,-0.005067887459739132,0.0
2025,2024,R0,C0_full,returning_pct_ppa,-0.15516992445809005,negative,0.15516992445809005,0.014440881277523132,-0.006674464819509964,0.0
2025,2024,R0,C0_full,returning_pct_passing_ppa,-0.023225340064195663,negative,0.023225340064195663,0.004650744640583175,-0.006674464819508861,0.0
2025,2024,R0,C0_full,returning_pct_receiving_ppa,-0.06720378963979394,negative,0.06720378963979394,-0.00027860685766012416,-0.006674464819508861,0.0
2025,2024,R0,C0_full,returning_pct_rushing_ppa,-0.0009170373283231181,negative,0.0009170373283231181,0.0002609685350178953,-0.006674464819508861,0.0
2025,2024,R2,C10_transfer_production,returning_pct_ppa,-0.1763466632090883,negative,0.1763466632090883,0.0009021315725967205,-0.0061088337098849105,0.0
2025,2024,R2,C10_transfer_production,returning_pct_passing_ppa,-0.02375221616184545,negative,0.02375221616184545,0.004259624718584713,-0.0061088337098849105,0.0
2025,2024,R2,C10_transfer_production,returning_pct_receiving_ppa,-0.06433289533250673,negative,0.06433289533250673,0.004282095202041286,-0.0061088337098849105,0.0
2025,2024,R2,C10_transfer_production,returning_pct_rushing_ppa,-0.001078657409983624,negative,0.001078657409983624,0.0002387665803764694,-0.006108833709890282,0.0
2025,2024,R2,C10_transfer_production,transfer_in_prior_usage_sum,-0.07916320752844064,negative,0.07916320752844064,-0.031813088466705566,0.19322009707127766,0.0
2025,2024,R2,C10_transfer_production,transfer_net_prior_usage,-0.007375985848558305,negative,0.007375985848558305,0.012768402495928689,-0.13932993560235668,0.0
