candidate,protocol,target_seasons,n_target_seasons,n_team_seasons,candidate_nll,c0_nll,minus_rp_nll,delta_vs_c0_nll,delta_vs_minus_rp_nll,candidate_crps,c0_crps,minus_rp_crps,delta_vs_c0_crps,delta_vs_minus_rp_crps,candidate_expected_rank_mae,c0_expected_rank_mae,minus_rp_expected_rank_mae,delta_vs_c0_expected_rank_mae,delta_vs_minus_rp_expected_rank_mae,candidate_median_rank_mae,c0_median_rank_mae,minus_rp_median_rank_mae,delta_vs_c0_median_rank_mae,delta_vs_minus_rp_median_rank_mae,candidate_interval_80_coverage,c0_interval_80_coverage,minus_rp_interval_80_coverage,delta_vs_c0_interval_80_coverage,delta_vs_minus_rp_interval_80_coverage,candidate_interval_80_average_width,c0_interval_80_average_width,minus_rp_interval_80_average_width,delta_vs_c0_interval_80_average_width,delta_vs_minus_rp_interval_80_average_width,development_bootstrap
C5_transfer_talent,development_through_2017,2018;2019;2020;2021,4,513,4.482186362794486,4.483502733561398,4.505401642134815,-0.0013163707669127608,-0.02321527934033024,0.1118568130839278,0.1121072808988425,0.1149309548828541,-0.00025046781491470856,-0.0030741417989262926,19.068801009555187,19.096830844076308,19.8937301489744,-0.02802983452111957,-0.8249291394192139,19.816764132553605,19.89083820662768,20.50682261208577,-0.07407407407407393,-0.6900584795321638,0.8361679228596521,0.8353394628206657,0.8267756234297587,0.0008284600389863698,0.009392299429893449,71.317738791423,71.21052631578948,72.56140350877193,0.10721247563352851,-1.24366471734893,
C5_transfer_talent,frozen_through_2021,2022;2023;2024;2025,4,534,4.711632970636316,4.542326751937674,4.5291557346129805,0.1693062186986418,0.18247723602333527,0.1273631419673592,0.11194306775822213,0.11111614140217868,0.015420074209137059,0.01624700056518053,22.54627480519449,20.16301079638477,20.226139001710077,2.383264008809722,2.320135803484413,23.85861423220974,20.594569288389515,20.480337078651687,3.2640449438202257,3.378277153558054,0.7574420015665929,0.8249770482173018,0.833830400940448,-0.06753504665070888,-0.07638839937385508,66.77902621722846,71.91947565543072,74.59737827715355,-5.14044943820224,-7.8183520599250915,
C6_minus_rp_transfer_talent,development_through_2017,2018;2019;2020;2021,4,513,4.505578629881506,4.483502733561398,4.505401642134815,0.022075896320108288,0.00017698774669080384,0.1149688881599767,0.1121072808988425,0.1149309548828541,0.0028616072611342054,3.793327712262124e-05,19.931591479591653,19.096830844076308,19.8937301489744,0.8347606355153445,0.03786133061725013,20.54385964912281,19.89083820662768,20.50682261208577,0.6530214424951274,0.03703703703703741,0.8263370269385306,0.8353394628206657,0.8267756234297587,-0.009002435882135153,-0.0004385964912280749,72.5925925925926,71.21052631578948,72.56140350877193,1.3820662768031176,0.031189083820659196,
C6_minus_rp_transfer_talent,frozen_through_2021,2022;2023;2024;2025,4,534,4.7755916869336685,4.542326751937674,4.5291557346129805,0.23326493499599443,0.2464359523206879,0.13317184704704316,0.11194306775822213,0.11111614140217868,0.02122877928882102,0.022055705644864483,23.55541518908709,20.16301079638477,20.226139001710077,3.392404392702314,3.329276187377005,24.839887640449437,20.594569288389515,20.480337078651687,4.245318352059925,4.359550561797753,0.7419994165191299,0.8249770482173018,0.833830400940448,-0.08297763169817188,-0.09183098442131808,68.12734082397004,71.91947565543072,74.59737827715355,-3.792134831460669,-6.4700374531835205,
C7_rp_x_incoming_value,development_through_2017,2018;2019;2020;2021,4,513,4.4835046340457865,4.483502733561398,4.505401642134815,1.9004843890166502e-06,-0.021897008089028464,0.11210733195168984,0.1121072808988425,0.1149309548828541,5.105284734913302e-08,-0.0028236229311642356,19.096838693125104,19.096830844076308,19.8937301489744,7.849048794641485e-06,-0.7968914558492999,19.89083820662768,19.89083820662768,20.50682261208577,0.0,-0.6159844054580899,0.8353394628206657,0.8353394628206657,0.8267756234297587,0.0,0.00856383939090708,71.21442495126706,71.21052631578948,72.56140350877193,0.0038986354775819593,-1.3469785575048765,
C7_rp_x_incoming_value,frozen_through_2021,2022;2023;2024;2025,4,534,4.879974929762117,4.542326751937674,4.5291557346129805,0.33764817782444345,0.3508191951491369,0.1380361042150993,0.11194306775822213,0.11111614140217868,0.026093036456877165,0.02691996281292063,23.7783265286891,20.16301079638477,20.226139001710077,3.6153157323043272,3.552187526979018,24.965355805243444,20.594569288389515,20.480337078651687,4.370786516853931,4.4850187265917585,0.7341524902773191,0.8249770482173018,0.833830400940448,-0.09082455793998283,-0.099677910663129,65.78838951310861,71.91947565543072,74.59737827715355,-6.131086142322092,-8.808988764044944,
C8_rp_x_net_value,development_through_2017,2018;2019;2020;2021,4,513,4.4835046340457865,4.483502733561398,4.505401642134815,1.9004843890166502e-06,-0.021897008089028464,0.11210733195168984,0.1121072808988425,0.1149309548828541,5.105284734913302e-08,-0.0028236229311642356,19.096838693125104,19.096830844076308,19.8937301489744,7.849048794641485e-06,-0.7968914558492999,19.89083820662768,19.89083820662768,20.50682261208577,0.0,-0.6159844054580899,0.8353394628206657,0.8353394628206657,0.8267756234297587,0.0,0.00856383939090708,71.21442495126706,71.21052631578948,72.56140350877193,0.0038986354775819593,-1.3469785575048765,
C8_rp_x_net_value,frozen_through_2021,2022;2023;2024;2025,4,534,4.541077459279642,4.542326751937674,4.5291557346129805,-0.0012492926580319,0.01192172466666158,0.11180234871782446,0.11194306775822213,0.11111614140217868,-0.00014071904039767555,0.0006862073156457919,20.152056749828954,20.16301079638477,20.226139001710077,-0.010954046555816794,-0.07408225188112597,20.587078651685392,20.594569288389515,20.480337078651687,-0.007490636704120269,0.10674157303370803,0.8252901636455676,0.8249770482173018,0.833830400940448,0.00031311542826593653,-0.008540237294880256,72.01123595505618,71.91947565543072,74.59737827715355,0.09176029962547055,-2.586142322097381,
C9_effective_returning_production,development_through_2017,2018;2019;2020;2021,4,513,4.505663396938586,4.483502733561398,4.505401642134815,0.02216066337718779,0.0002617548037703057,0.11498139002393061,0.1121072808988425,0.1149309548828541,0.002874109125088105,5.0435141076520556e-05,19.921771253829334,19.096830844076308,19.8937301489744,0.8249404097530278,0.02804110485493343,20.536062378167642,19.89083820662768,20.50682261208577,0.6452241715399617,0.029239766081871746,0.8260689957494468,0.8353394628206657,0.8267756234297587,-0.009270467071218957,-0.0007066276803118786,72.5458089668616,71.21052631578948,72.56140350877193,1.3352826510721234,-0.015594541910334875,
C9_effective_returning_production,frozen_through_2021,2022;2023;2024;2025,4,534,4.511455998299893,4.542326751937674,4.5291557346129805,-0.030870753637781016,-0.01769973631308754,0.10874942185829045,0.11194306775822213,0.11111614140217868,-0.0031936458999316884,-0.002366719543888221,19.738055485367816,20.16301079638477,20.226139001710077,-0.42495531101695405,-0.48808351634226327,19.920411985018728,20.594569288389515,20.480337078651687,-0.6741573033707864,-0.5599250936329582,0.8378409362295159,0.8249770482173018,0.833830400940448,0.012863888012214142,0.00401053528906795,73.60112359550561,71.91947565543072,74.59737827715355,1.681647940074909,-0.9962546816479428,
