candidate,protocol,target_season,n_team_seasons,n_training_rows,n_training_seasons,same_population_keys,candidate_nll,c0_nll,minus_rp_nll,delta_vs_c0_nll,delta_vs_minus_rp_nll,candidate_crps,c0_crps,minus_rp_crps,delta_vs_c0_crps,delta_vs_minus_rp_crps,candidate_expected_rank_mae,c0_expected_rank_mae,minus_rp_expected_rank_mae,delta_vs_c0_expected_rank_mae,delta_vs_minus_rp_expected_rank_mae,candidate_median_rank_mae,c0_median_rank_mae,minus_rp_median_rank_mae,delta_vs_c0_median_rank_mae,delta_vs_minus_rp_median_rank_mae,candidate_interval_80_coverage,c0_interval_80_coverage,minus_rp_interval_80_coverage,delta_vs_c0_interval_80_coverage,delta_vs_minus_rp_interval_80_coverage,candidate_interval_80_average_width,c0_interval_80_average_width,minus_rp_interval_80_average_width,delta_vs_c0_interval_80_average_width,delta_vs_minus_rp_interval_80_average_width
C3_minus_rp_transfer_volume,frozen_through_2021,2024,134,2216,18,True,4.7536101242272615,4.584023541620271,4.553894876236028,0.1695865826069909,0.1997152479912332,0.13422289677699217,0.11828325718207185,0.11602782529408148,0.015939639594920327,0.01819507148291069,23.93606158592566,21.017995994307483,20.761751998430476,2.918065591618177,3.174309587495184,24.761194029850746,21.708955223880597,20.925373134328357,3.0522388059701484,3.8358208955223887,0.7437810945273632,0.8045771144278607,0.8151243781094528,-0.060796019900497544,-0.07134328358208963,72.42537313432835,70.8731343283582,73.32835820895522,1.5522388059701484,-0.9029850746268693
C3_minus_rp_transfer_volume,frozen_through_2021,2025,136,2216,18,True,4.707321251623472,4.642490544301942,4.569114909895332,0.06483070732152996,0.1382063417281394,0.1301271802853968,0.11772472513966825,0.11152290371307706,0.012402455145728547,0.018604276572319736,24.167569501605925,21.61321294045643,20.731580594769188,2.5543565611494934,3.4359889068367373,25.46323529411765,22.198529411764707,20.88235294117647,3.264705882352942,4.5808823529411775,0.7716559226430298,0.8031829170024174,0.8265511684125704,-0.03152699435938755,-0.054895245769540524,73.08088235294117,72.58088235294117,76.58088235294117,0.5,-3.5
C3_minus_rp_transfer_volume,development_through_2017,2018,129,1703,14,True,4.45996102420078,4.43859426526967,4.459946838910857,0.02136675893110951,1.4185289923140942e-05,0.10695305398436822,0.10559534436422642,0.10695260810626545,0.0013577096201417976,4.458781027727454e-07,18.845565915757494,18.41534639864679,18.845883609140852,0.4302195171107037,-0.0003176933833586304,19.124031007751938,18.914728682170544,19.13953488372093,0.20930232558139394,-0.015503875968992276,0.8447376267143708,0.8529367918902803,0.8447376267143708,-0.008199165175909462,0.0,71.44186046511628,69.69767441860465,71.44186046511628,1.7441860465116292,0.0
C3_minus_rp_transfer_volume,development_through_2017,2019,130,1703,14,True,4.470354960841867,4.4280347082085045,4.470340822962781,0.042320252633362365,1.4137879086106864e-05,0.11275850041413593,0.1062089046127766,0.11275738693953084,0.006549595801359331,1.1134746050883715e-06,19.887045916630612,18.231054106651438,19.886998814209164,1.6559918099791737,4.7102421447675624e-05,20.342307692307692,18.81153846153846,20.342307692307692,1.5307692307692307,0.0,0.836734693877551,0.8507064364207222,0.836734693877551,-0.01397174254317124,0.0,72.36923076923077,70.31538461538462,72.36923076923077,2.053846153846152,0.0
C3_minus_rp_transfer_volume,development_through_2017,2020,127,1703,14,True,4.5958345898406945,4.56839992928216,4.595814988614702,0.027434660558534496,1.9601225992538218e-05,0.12694888233699125,0.12308934760021478,0.12694639635682511,0.003859534736776471,2.4859801661392122e-06,20.453406964409673,19.482032420283947,20.452560488570924,0.9713745441257267,0.0008464758387489724,21.85433070866142,20.81496062992126,21.85433070866142,1.0393700787401592,0.0,0.7825923682616597,0.791405208964264,0.7825923682616597,-0.008812840702604352,0.0,71.53543307086615,70.80314960629921,71.53543307086615,0.7322834645669332,0.0
C3_minus_rp_transfer_volume,development_through_2017,2021,127,1703,14,True,4.499339265779813,4.500999519773778,4.497047950050639,-0.0016602539939647443,0.0022913157291739594,0.11364467783225843,0.1137774089230926,0.1132444155097646,-0.00013273109083417056,0.00040026232249382176,20.629765264570118,20.290073908228045,20.406138212196847,0.3396913563420725,0.22362705237327063,20.976377952755904,21.062992125984252,20.716535433070867,-0.08661417322834808,0.25984251968503713,0.8424212598425196,0.8456692913385826,0.84251968503937,-0.0032480314960630086,-9.842519685043793e-05,74.94488188976378,74.07086614173228,74.92125984251969,0.8740157480314963,0.023622047244089117
C4_rp_x_transfer_volume,frozen_through_2021,2022,131,2216,18,True,4.466624965772837,4.46687895474135,4.48720539938238,-0.00025398896851314134,-0.02058043360954276,0.10697964759290875,0.1070808440668973,0.10902949034623019,-0.00010119647398855458,-0.002049842753321443,18.665856350662185,18.68027501528254,19.278842840120568,-0.014418664620354349,-0.6129864894583825,18.84732824427481,18.85496183206107,19.6793893129771,-0.007633587786259,-0.8320610687022914,0.8260829577853398,0.8258070449737882,0.8325209233882093,0.000275912811551593,-0.0064379656028694665,72.1526717557252,72.09923664122137,73.74809160305344,0.05343511450382721,-1.5954198473282446
C4_rp_x_transfer_volume,frozen_through_2021,2023,133,2216,18,True,4.470124223013082,4.4722065703866205,4.504689577465013,-0.002082347373538518,-0.03456535445193065,0.10411411270154126,0.10443224457695163,0.10780686300016434,-0.00031813187541036847,-0.0036927502986230792,19.259676849091566,19.27912267013667,20.10270741488041,-0.019445821045103173,-0.8430305657888439,19.56015037593985,19.545112781954888,20.409774436090224,0.015037593984960296,-0.8496240601503757,0.8678114204429994,0.8669985775248933,0.8614102824629141,0.000812842918106127,0.006401137980085347,72.29323308270676,72.1203007518797,74.6842105263158,0.1729323308270665,-2.3909774436090316
C4_rp_x_transfer_volume,frozen_through_2021,2024,134,2216,18,True,4.573727446533171,4.584023541620271,4.553894876236028,-0.010296095087099388,0.019832570297142915,0.11710487977656875,0.11828325718207185,0.11602782529408148,-0.0011783774055030977,0.0010770544824872663,20.90166634671191,21.017995994307483,20.761751998430476,-0.11632964759557396,0.13991434828143312,21.5,21.708955223880597,20.925373134328357,-0.20895522388059717,0.5746268656716431,0.8081592039800997,0.8045771144278607,0.8151243781094528,0.0035820895522389318,-0.006965174129353158,71.29850746268657,70.8731343283582,73.32835820895522,0.42537313432836754,-2.02985074626865
C4_rp_x_transfer_volume,frozen_through_2021,2025,136,2216,18,True,4.615325039257928,4.642490544301942,4.569114909895332,-0.027165505044013827,0.04621012936259561,0.11510424537642638,0.11772472513966825,0.11152290371307706,-0.0026204797632418675,0.0035813416633493217,21.2460077858919,21.61321294045643,20.731580594769188,-0.3672051545645303,0.5144271911227136,21.75735294117647,22.198529411764707,20.88235294117647,-0.4411764705882355,0.875,0.8077155519742144,0.8031829170024174,0.8265511684125704,0.004532634971797012,-0.018835616438355962,73.66911764705883,72.58088235294117,76.58088235294117,1.088235294117652,-2.911764705882348
