season,subdivision,team_id,team_name,portal_payload_available,incoming_transfer_count,d5_applicable_transfer_count,d5_successfully_resolved_count,d5_legitimate_zero_or_non_applicable_count,d5_resolution_failure_count,d5_applicability_unknown_count,joined_prior_usage_count,unmatched_incoming_count,undetermined_incoming_count,observed_incoming_prior_offensive_usage,observed_incoming_prior_usage,unresolved_prior_offensive_usage_upper_bound,unresolved_offensive_usage_missing_upper_bound,unmatched_prior_usage_upper_bound,plausible_prior_offensive_usage_upper_bound_basis,feature_coverage_status,missingness_flag,roster_strength_proxy,conference
2021,fbs,2050,Ball State,True,2,1,0,1,1,0,0,1,0,0.0,0.0,0.746,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,338.31,
2021,fbs,2084,Buffalo,True,6,3,2,3,1,0,2,1,0,0.131,0.131,0.877,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,267.09,
2021,fbs,21,San Diego State,True,2,1,1,0,0,1,1,0,1,0.058,0.058,0.058,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,441.63,
2021,fbs,2116,UCF,True,10,6,4,3,2,1,4,2,1,0.319,0.319,1.811,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,639.06,
2021,fbs,2117,Central Michigan,True,3,2,1,1,1,0,1,1,0,0.043,0.043,0.789,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,268.89,
2021,fbs,213,Penn State,True,6,1,1,4,0,1,1,0,1,0.153,0.153,0.153,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,820.72,
2021,fbs,2132,Cincinnati,True,3,1,0,2,1,0,0,1,0,0.0,0.0,0.746,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,626.54,
2021,fbs,218,Temple,True,11,5,1,6,4,0,1,4,0,0.205,0.205,3.189,2.984,2.984,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,501.4,
2021,fbs,2199,Eastern Michigan,True,3,3,1,0,2,0,1,2,0,0.059,0.059,1.551,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,340.6,
2021,fbs,221,Pittsburgh,True,4,3,1,1,2,0,1,2,0,0.087,0.087,1.579,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,668.67,
2021,fbs,2226,Florida Atlantic,True,7,5,2,2,3,0,2,3,0,0.33399999999999996,0.33399999999999996,2.572,2.238,2.238,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,553.28,
2021,fbs,2229,Florida International,True,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,no_incoming_transfer,0,520.69,
2021,fbs,2247,Georgia State,True,3,1,1,0,0,2,1,0,2,0.025,0.025,0.025,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,413.91,
2021,fbs,228,Clemson,True,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,no_incoming_transfer,0,935.08,
2021,fbs,2294,Iowa,True,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,657.39,
2021,fbs,23,San José State,True,9,6,1,3,5,0,1,5,0,0.019,0.019,3.749,3.73,3.73,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,410.81,
2021,fbs,2305,Kansas,True,13,6,2,6,4,1,2,4,1,0.369,0.369,3.3529999999999998,2.984,2.984,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,548.1,
2021,fbs,2306,Kansas State,True,8,2,2,5,0,1,2,0,1,0.048,0.048,0.048,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,569.65,
2021,fbs,2309,Kent State,True,7,3,2,4,1,0,2,1,0,0.088,0.088,0.834,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,357.85,
2021,fbs,2335,Liberty,True,6,2,0,4,2,0,0,2,0,0.0,0.0,1.492,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,154.75,
2021,fbs,2348,Louisiana Tech,True,9,6,3,3,3,0,3,3,0,0.41600000000000004,0.41600000000000004,2.654,2.238,2.238,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,520.48,
2021,fbs,235,Memphis,True,13,7,2,6,5,0,2,5,0,0.886,0.886,4.616,3.73,3.73,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,572.13,
2021,fbs,238,Vanderbilt,True,5,3,1,2,2,0,1,2,0,0.297,0.297,1.789,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,609.82,
2021,fbs,239,Baylor,True,6,4,0,2,4,0,0,4,0,0.0,0.0,2.984,2.984,2.984,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,660.65,
2021,fbs,2390,Miami,True,4,2,1,2,1,0,1,1,0,0.075,0.075,0.821,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,841.45,
2021,fbs,2393,Middle Tennessee,True,6,4,3,2,1,0,3,1,0,0.604,0.604,1.35,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,494.02,
2021,fbs,24,Stanford,True,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,745.3,
2021,fbs,242,Rice,True,3,2,1,0,1,1,1,1,1,0.293,0.293,1.039,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,419.65,
2021,fbs,2426,Navy,True,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,no_incoming_transfer,0,127.63,
2021,fbs,2429,Charlotte,True,11,4,0,5,4,2,0,4,2,0.0,0.0,2.984,2.984,2.984,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,462.67,
2021,fbs,2433,UL Monroe,True,15,11,5,4,6,0,5,6,0,0.415,0.415,4.891,4.476,4.476,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,312.31,
2021,fbs,2439,UNLV,True,6,4,0,2,4,0,0,4,0,0.0,0.0,2.984,2.984,2.984,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,392.44,
2021,fbs,2440,Nevada,True,6,3,0,3,3,0,0,3,0,0.0,0.0,2.238,2.238,2.238,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,421.64,
2021,fbs,245,Texas A&M,True,1,1,0,0,1,0,0,1,0,0,0,0.746,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,unresolved_applicable_offensive_usage,1,888.35,
2021,fbs,2459,Northern Illinois,True,1,1,1,0,0,0,1,0,0,0.456,0.456,0.456,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,354.21,
2021,fbs,248,Houston,True,10,6,5,3,1,1,5,1,1,0.259,0.259,1.005,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,571.21,
2021,fbs,2483,Oregon,True,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,no_incoming_transfer,0,885.75,
2021,fbs,249,North Texas,True,11,3,0,8,3,0,0,3,0,0.0,0.0,2.238,2.238,2.238,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,496.31,
2021,fbs,25,California,True,3,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,662.11,
2021,fbs,2509,Purdue,True,8,3,2,3,1,2,2,1,2,0.11499999999999999,0.11499999999999999,0.861,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,644.23,
2021,fbs,251,Texas,True,8,2,0,6,2,0,0,2,0,0.0,0.0,1.492,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,874.19,
2021,fbs,252,BYU,True,5,2,2,3,0,0,2,0,0,0.092,0.092,0.092,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,443.13,
2021,fbs,254,Utah,True,8,5,3,2,2,1,3,2,1,0.8690000000000001,0.8690000000000001,2.361,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,707.72,
2021,fbs,2567,SMU,True,14,9,2,5,7,0,2,7,0,0.318,0.318,5.539999999999999,5.2219999999999995,5.2219999999999995,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,576.03,
2021,fbs,2572,Southern Miss,True,8,2,0,5,2,1,0,2,1,0.0,0.0,1.492,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,465.94,
2021,fbs,2579,South Carolina,True,8,2,1,5,1,1,1,1,1,0.05,0.05,0.796,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,747.88,
2021,fbs,258,Virginia,True,6,3,2,3,1,0,2,1,0,0.097,0.097,0.843,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,619.61,
2021,fbs,259,Virginia Tech,True,7,1,1,4,0,2,1,0,2,0.093,0.093,0.093,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,663.78,
2021,fbs,26,UCLA,True,8,2,2,5,0,1,2,0,1,0.107,0.107,0.107,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,746.02,
2021,fbs,2628,TCU,True,6,4,2,1,2,1,2,2,1,0.083,0.083,1.575,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,698.52,
2021,fbs,2633,Tennessee,True,10,3,2,7,1,0,2,1,0,0.579,0.579,1.325,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,780.83,
2021,fbs,2636,UTSA,True,9,2,1,7,1,0,1,1,0,0.07,0.07,0.8160000000000001,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,508.77,
2021,fbs,2638,UTEP,True,4,1,1,3,0,0,1,0,0,0.185,0.185,0.185,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,318.65,
2021,fbs,264,Washington,True,4,2,2,1,0,1,2,0,1,0.441,0.441,0.441,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,789.51,
2021,fbs,2641,Texas Tech,True,11,4,2,7,2,0,2,2,0,0.5630000000000001,0.5630000000000001,2.055,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,607.1,
2021,fbs,2649,Toledo,True,5,3,1,2,2,0,1,2,0,0.022,0.022,1.514,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,465.4,
2021,fbs,265,Washington State,True,7,4,3,3,1,0,3,1,0,0.601,0.601,1.347,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,601.16,
2021,fbs,2653,Troy,True,8,2,0,6,2,0,0,2,0,0.0,0.0,1.492,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,448.77,
2021,fbs,2655,Tulane,True,5,2,2,3,0,0,2,0,0,0.17900000000000002,0.17900000000000002,0.17900000000000002,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,463.02,
2021,fbs,2711,Western Michigan,True,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,396.47,
2021,fbs,275,Wisconsin,True,2,1,1,0,0,1,1,0,1,0.048,0.048,0.048,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,750.89,
2021,fbs,2751,Wyoming,True,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,326.65,
2021,fbs,276,Marshall,True,6,3,1,3,2,0,1,2,0,0.014,0.014,1.506,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,456.97,
2021,fbs,277,West Virginia,True,2,0,0,1,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,611.29,
2021,fbs,278,Fresno State,True,8,3,2,5,1,0,2,1,0,0.192,0.192,0.938,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,483.77,
2021,fbs,290,Georgia Southern,True,4,2,2,2,0,0,2,0,0,0.424,0.424,0.424,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,383.76,
2021,fbs,295,Old Dominion,True,7,5,1,2,4,0,1,4,0,0.028,0.028,3.012,2.984,2.984,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,409.31,
2021,fbs,30,USC,True,9,6,6,3,0,0,6,0,0,0.567,0.567,0.567,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,874.5,
2021,fbs,309,Louisiana,True,9,7,2,1,5,1,2,5,1,0.22299999999999998,0.22299999999999998,3.953,3.73,3.73,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,435.63,
2021,fbs,324,Coastal Carolina,True,4,2,0,2,2,0,0,2,0,0.0,0.0,1.492,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,415.91,
2021,fbs,326,Texas State,True,19,8,3,10,5,1,3,5,1,0.159,0.159,3.889,3.73,3.73,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,428.48,
2021,fbs,328,Utah State,True,12,8,3,4,5,0,3,5,0,0.5579999999999999,0.5579999999999999,4.288,3.73,3.73,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,394.37,
2021,fbs,333,Alabama,True,4,1,1,3,0,0,1,0,0,0.026,0.026,0.026,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,1004.04,
2021,fbs,344,Mississippi State,True,8,5,4,3,1,0,4,1,0,0.891,0.891,1.637,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,716.17,
2021,fbs,349,Army,True,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,no_incoming_transfer,0,111.53,
2021,fbs,356,Illinois,True,9,5,3,4,2,0,3,2,0,0.503,0.503,1.995,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,630.16,
2021,fbs,36,Colorado State,True,6,3,2,3,1,0,2,1,0,0.318,0.318,1.064,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,443.16,
2021,fbs,38,Colorado,True,6,3,1,2,2,1,1,2,1,0.21,0.21,1.702,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,640.85,
2021,fbs,41,UConn,True,2,2,1,0,1,0,1,1,0,0.049,0.049,0.795,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,331.9,
2021,fbs,5,UAB,True,6,3,2,3,1,0,2,1,0,0.11699999999999999,0.11699999999999999,0.863,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,444.37,
2021,fbs,52,Florida State,True,12,3,2,8,1,1,2,1,1,0.186,0.186,0.9319999999999999,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,769.76,
2021,fbs,57,Florida,True,7,2,1,5,1,0,1,1,0,0.063,0.063,0.8089999999999999,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,885.67,
2021,fbs,58,South Florida,True,10,5,3,5,2,0,3,2,0,0.222,0.222,1.714,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,540.51,
2021,fbs,59,Georgia Tech,True,10,3,2,4,1,3,2,1,3,0.414,0.414,1.16,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,707.35,
2021,fbs,6,South Alabama,True,13,6,2,4,4,3,2,4,3,0.494,0.494,3.4779999999999998,2.984,2.984,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,415.07,
2021,fbs,61,Georgia,True,3,1,1,2,0,0,1,0,0,0.085,0.085,0.085,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,1001.79,
2021,fbs,62,Hawai'i,True,6,1,0,5,1,0,0,1,0,0.0,0.0,0.746,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,397.43,
2021,fbs,66,Iowa State,True,2,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,613.6,
2021,fbs,68,Boise State,True,6,3,2,3,1,0,2,1,0,0.08600000000000001,0.08600000000000001,0.832,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,557.69,
2021,fbs,77,Northwestern,True,7,4,4,3,0,0,4,0,0,0.353,0.353,0.353,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,648.79,
2021,fbs,8,Arkansas,True,5,2,0,3,2,0,0,2,0,0.0,0.0,1.492,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,722.84,
2021,fbs,84,Indiana,True,8,3,1,2,2,3,1,2,3,0.129,0.129,1.621,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,664.25,
2021,fbs,87,Notre Dame,True,4,1,0,2,1,1,0,1,1,0.0,0.0,0.746,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,853.1,
2021,fbs,9,Arizona State,True,7,3,1,3,2,1,1,2,1,0.073,0.073,1.565,1.492,1.492,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,734.45,
2021,fbs,96,Kentucky,True,7,4,3,2,1,1,3,1,1,0.448,0.448,1.194,0.746,0.746,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,709.07,
2021,fbs,97,Louisville,True,6,2,2,3,0,1,2,0,1,0.581,0.581,0.581,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,607.77,
2021,fbs,98,Western Kentucky,True,19,13,6,6,7,0,6,7,0,1.308,1.308,6.529999999999999,5.2219999999999995,5.2219999999999995,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,partial,1,524.97,
2021,fbs,99,LSU,True,2,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,observed incoming prior offensive usage + resolution-failure count × max overall usage in 2020 usage payload,complete,0,903.72,
