season,field,raw_name,normalized_name,team_id,canonical_name,match_method,record_count
2023,origin,Colorado,colorado,38,Colorado,exact_normalized_name,59
2023,origin,Colorado State,colorado state,36,Colorado State,exact_normalized_name,20
2023,origin,Columbia,columbia,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Cornell,cornell,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Dartmouth,dartmouth,,,not_in_fbs_population_or_unrecognized,2
2023,origin,Dayton,dayton,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Delaware,delaware,,,not_in_fbs_population_or_unrecognized,2
2023,origin,Duke,duke,150,Duke,exact_normalized_name,16
2023,origin,Duquesne,duquesne,,,not_in_fbs_population_or_unrecognized,2
2023,origin,East Carolina,east carolina,151,East Carolina,exact_normalized_name,25
2023,origin,East Tennessee State,east tennessee state,,,not_in_fbs_population_or_unrecognized,3
2023,origin,Eastern Illinois,eastern illinois,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Eastern Kentucky,eastern kentucky,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Eastern Michigan,eastern michigan,2199,Eastern Michigan,exact_normalized_name,10
2023,origin,Eastern Washington,eastern washington,,,not_in_fbs_population_or_unrecognized,4
2023,origin,Elon,elon,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Erskine College,erskine college,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Ferris State,ferris state,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Florida,florida,57,Florida,exact_normalized_name,25
2023,origin,Florida A&M,florida aandm,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Florida Atlantic,florida atlantic,2226,Florida Atlantic,exact_normalized_name,18
2023,origin,Florida International,florida international,2229,Florida International,exact_normalized_name,19
2023,origin,Florida State,florida state,52,Florida State,exact_normalized_name,23
2023,origin,Fordham,fordham,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Fresno State,fresno state,278,Fresno State,exact_normalized_name,24
2023,origin,Frostburg State,frostburg state,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Furman,furman,,,not_in_fbs_population_or_unrecognized,2
2023,origin,Gardner-Webb,gardner webb,,,not_in_fbs_population_or_unrecognized,1
2023,origin,George Fox,george fox,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Georgetown,georgetown,,,not_in_fbs_population_or_unrecognized,1
