candidate,target_season,n_team_seasons,nll,delta_vs_D0_nll,crps,delta_vs_D0_crps,expected_rank_mae,delta_vs_D0_expected_rank_mae,median_rank_mae,delta_vs_D0_median_rank_mae,interval_80_coverage,delta_vs_D0_interval_80_coverage,interval_80_average_width,delta_vs_D0_interval_80_average_width
D3_incoming_transfer_production_only,2024,134,4.550560830495692,-0.03346271112457888,0.11560114105666057,-0.002682116125411277,20.6379644080979,-0.3800315862095829,20.850746268656717,-0.8582089552238799,0.8071641791044776,0.002587064676616846,72.5223880597015,1.6492537313432933
D3_incoming_transfer_production_only,2025,136,4.551688658103967,-0.09080188619797447,0.1098980474559044,-0.007826677683763855,20.5362703349451,-1.0769426055113307,20.88235294117647,-1.3161764705882355,0.834709911361805,0.03152699435938755,75.95588235294117,3.375
D4_outgoing_transfer_production_only,2022,131,4.489541795604115,0.02266284086276471,0.10935822122309058,0.0022773771561932776,19.295548554938325,0.6152735396557851,19.68702290076336,0.8320610687022914,0.8349121677549894,0.009105122781201236,73.87022900763358,1.7709923664122158
D4_outgoing_transfer_production_only,2023,133,4.506652500973378,0.03444593058675771,0.10801231151561173,0.003580066938660101,20.079283592791118,0.8001609226544488,20.349624060150376,0.8045112781954877,0.8572444625076204,-0.009754115017272857,74.57894736842105,2.4586466165413583
D4_outgoing_transfer_production_only,2024,134,4.5550855835915955,-0.028937958028675048,0.11616984753028839,-0.002113409651783457,20.82686426978318,-0.19113172452430405,21.044776119402986,-0.6641791044776113,0.8136318407960199,0.009054726368159183,73.3955223880597,2.5223880597014983
D4_outgoing_transfer_production_only,2025,136,4.57070222800646,-0.07178831629548199,0.11175249431612848,-0.005972230823539773,20.795050678992464,-0.8181622614639679,20.933823529411764,-1.264705882352942,0.8257453666398066,0.02256244963738918,76.67647058823529,4.095588235294116
D5_total_rp_plus_incoming,2022,131,4.4563787950709415,-0.010500159670408848,0.10561449458364564,-0.0014663494832516666,18.51603490979311,-0.16424010548943002,18.52671755725191,-0.3282442748091583,0.8331647199484964,0.007357674974708184,71.69465648854961,-0.4045801526717554
D5_total_rp_plus_incoming,2023,133,4.468424225691642,-0.0037823446949785122,0.10400838900406108,-0.0004238555728905552,19.155870103218493,-0.12325256691817543,19.402255639097746,-0.14285714285714235,0.8710627921154237,0.004064214590530413,72.35338345864662,0.2330827067669219
D5_total_rp_plus_incoming,2024,134,4.549217101618224,-0.03480644000204691,0.11447798382293448,-0.0038052733591373705,20.414504191358315,-0.6034918029491685,20.70149253731343,-1.007462686567166,0.8148258706467661,0.01024875621890542,70.4776119402985,-0.3955223880597032
D5_total_rp_plus_incoming,2025,136,4.556131769173409,-0.08635877512853263,0.10776439201485094,-0.009960333124817311,19.84233825319237,-1.7708746872640617,20.03676470588235,-2.161764705882355,0.8319903303787268,0.028807413376309432,73.28676470588235,0.705882352941174
D6_total_rp_plus_outgoing,2022,131,4.470060903873491,0.003181949132140538,0.10785797664173546,0.000777132574838163,18.909954700692214,0.22967968540967476,19.0381679389313,0.1832061068702302,0.8211165271774119,-0.004690517796376303,72.45801526717557,0.3587786259542014
D6_total_rp_plus_outgoing,2023,133,4.4770851213530465,0.004878550966425976,0.1037933372074593,-0.0006389073694923336,18.92081072113444,-0.3583119490022284,19.19924812030075,-0.34586466165413654,0.8718756350335297,0.004877057508636429,72.8796992481203,0.7593984962406068
D6_total_rp_plus_outgoing,2024,134,4.566570048915939,-0.017453492704331275,0.11661524323288558,-0.0016680139491862672,20.99712706350769,-0.020868930799792906,21.5,-0.20895522388059717,0.7982210568777732,-0.006356057550087502,71.91044776119404,1.0373134328358304
D6_total_rp_plus_outgoing,2025,136,4.604257487323605,-0.03823305697833668,0.11335318172408648,-0.004371543415581769,21.071748450243355,-0.5414644902130767,21.169117647058822,-1.029411764705884,0.802880741337631,-0.0003021756647864082,75.01470588235294,2.433823529411768
D7_total_rp_plus_incoming_plus_outgoing,2022,131,4.458591404829065,-0.008287549912285641,0.10614349636200504,-0.0009373477048922607,18.655587934765485,-0.024687080517054483,18.65648854961832,-0.1984732824427482,0.8285661730893037,0.0027591281155154856,71.99236641221374,-0.106870229007626
D7_total_rp_plus_incoming_plus_outgoing,2023,133,4.474345871176067,0.0021393007894463523,0.10423013009136495,-0.0002021144855866852,19.174041899976302,-0.10508077016036665,19.387218045112782,-0.1578947368421062,0.8708595813858971,0.0038610038610038533,72.4812030075188,0.36090225563910394
D7_total_rp_plus_incoming_plus_outgoing,2024,134,4.547196375708473,-0.0368271659117978,0.11434993481850918,-0.003933322363562669,20.478417651247245,-0.5395783430602386,20.761194029850746,-0.9477611940298516,0.8096517412935323,0.0050746268656716165,71.04477611940298,0.1716417910447774
D7_total_rp_plus_incoming_plus_outgoing,2025,136,4.557486978643629,-0.08500356565831257,0.10790463461849811,-0.009820090521170138,20.001868581243798,-1.6113443592126337,19.904411764705884,-2.2941176470588225,0.8284649476228848,0.02528203062046741,74.33088235294117,1.75
D8_existing_c10,2022,131,4.456531695645112,-0.010347259096238126,0.1057341445234835,-0.0013466995434138068,18.548339499137665,-0.13193551614487475,18.519083969465647,-0.33587786259542085,0.8293939115239585,0.0035868665501702646,71.74045801526718,-0.3587786259541872
D8_existing_c10,2023,133,4.475200869684154,0.002994299297533587,0.10501973912485614,0.0005874945479045074,19.35484106038085,0.07571839024418026,19.605263157894736,0.06015037593984829,0.8703515545620809,0.003352977037187621,71.88721804511279,-0.23308270676690768
D8_existing_c10,2024,134,4.55451021709855,-0.029513324521720286,0.11491009526938345,-0.0033731619126883966,20.516506139745275,-0.5014898545622088,20.828358208955223,-0.8805970149253746,0.8162189054726369,0.01164179104477614,70.41044776119404,-0.46268656716416956
D8_existing_c10,2025,136,4.575392659434163,-0.06709788486777857,0.10996635973402898,-0.007758365405639275,20.17232142952627,-1.440891510930161,20.235294117647058,-1.9632352941176485,0.8172844480257856,0.014101531023368197,72.91176470588235,0.33088235294117396
