variant,kind,target_season,n_team_seasons,nll,delta_vs_E0_nll,crps,delta_vs_E0_crps,expected_rank_mae,delta_vs_E0_expected_rank_mae,median_rank_mae,delta_vs_E0_median_rank_mae,interval_80_coverage,delta_vs_E0_interval_80_coverage,interval_80_average_width,delta_vs_E0_interval_80_average_width
E3_total_RP_plus_defensive_experience,primary,2024,134,4.578556977239125,-0.005466564381145567,0.11710899584870561,-0.0011742613333662333,20.7064267292786,-0.3115692650288828,21.208955223880597,-0.5,0.804179104477612,-0.0003980099502487455,70.58208955223881,-0.29104477611939217
E3_total_RP_plus_defensive_experience,primary,2025,136,4.601718020287313,-0.04077252401462861,0.11325810980094683,-0.004466615338721419,20.702096415611102,-0.9111165248453297,21.389705882352942,-0.8088235294117645,0.8094278807413376,0.006244963738920251,71.77941176470588,-0.8014705882352899
E4_D5_plus_defensive_experience,primary,2022,131,4.47455420289223,0.007675248150879277,0.1076720551308449,0.0005912110639475915,18.853217070381273,0.1729420550987335,19.16030534351145,0.3053435114503813,0.8259909868481561,0.00018394187436787668,71.82442748091603,-0.2748091603053382
E4_D5_plus_defensive_experience,primary,2023,133,4.47789190094939,0.005685330562769764,0.10508756777910742,0.0006553232021557914,19.523253975111352,0.24413130497468316,19.966165413533833,0.4210526315789451,0.8679130258077626,0.0009144482828693512,71.75187969924812,-0.3684210526315752
E4_D5_plus_defensive_experience,primary,2024,134,4.578559196242973,-0.005464345377297342,0.11710878146507732,-0.0011744757169945275,20.706278224199046,-0.31171777010843726,21.20149253731343,-0.5074626865671661,0.804179104477612,-0.0003980099502487455,70.58208955223881,-0.29104477611939217
E4_D5_plus_defensive_experience,primary,2025,136,4.601720206088112,-0.04077033821382958,0.1132578477480112,-0.004466877391657048,20.70200818781452,-0.9112047526419111,21.38235294117647,-0.8161764705882355,0.8094278807413376,0.006244963738920251,71.7720588235294,-0.808823529411768
E5_D5_plus_defensive_impact,primary,2022,131,4.467265355626989,0.0003864008856382384,0.10698781423956803,-9.302982732926901e-05,18.72653712334206,0.046262108059519136,18.885496183206108,0.03053435114503955,0.8336245746344156,0.007817529660627431,72.22900763358778,0.1297709923664172
E5_D5_plus_defensive_impact,primary,2023,133,4.4752144876521065,0.003007917265485993,0.10442636261339465,-5.881963556983449e-06,19.321997335818367,0.04287466568169762,19.56015037593985,0.015037593984960296,0.8713676082097135,0.0043690306848201965,72.66165413533835,0.5413533834586559
E5_D5_plus_defensive_impact,primary,2024,134,4.58681882132948,0.002795279709209453,0.1188357186225827,0.0005524614405108541,21.034631663740395,0.016635669432911726,21.708955223880597,0.0,0.8007960199004975,-0.0037810945273631935,71.40298507462687,0.5298507462686644
E5_D5_plus_defensive_impact,primary,2025,136,4.637326830994249,-0.005163713307692497,0.11704848265900211,-0.0006762424806661393,21.544480940904275,-0.06873199955215625,22.102941176470587,-0.09558823529411953,0.8013698630136986,-0.0018130539887187824,73.95588235294117,1.375
E6_D5_plus_experience_plus_impact,primary,2022,131,4.470671744692399,0.00379278995104837,0.10729215868244145,0.00021131461554414754,18.7412933069808,0.061018291698260896,18.908396946564885,0.05343511450381655,0.8305895337073484,0.004782488733560242,72.3206106870229,0.2213740458015394
E6_D5_plus_experience_plus_impact,primary,2023,133,4.482183160350053,0.009976589963432758,0.10522348006322421,0.000791235486272579,19.469633944342224,0.19051127420555503,19.838345864661655,0.2932330827067666,0.8709611867506605,0.0039626092257671885,72.45864661654136,0.3383458646616617
E6_D5_plus_experience_plus_impact,primary,2024,134,4.581745086475977,-0.0022784551442933676,0.11805521219330412,-0.00022804498876773105,20.994723703042744,-0.023272291264738953,21.492537313432837,-0.2164179104477597,0.8065671641791045,0.0019900497512437276,71.03731343283582,0.1641791044776113
E6_D5_plus_experience_plus_impact,primary,2025,136,4.603585167472641,-0.03890537682930084,0.11319142149771073,-0.004533303641957517,20.85170229135879,-0.7615106490976409,21.419117647058822,-0.779411764705884,0.8171837228041902,0.014000805801772764,72.68382352941177,0.10294117647059409
RP_only_mechanism_control,auxiliary,2022,131,4.469371008158963,0.0024920534176127163,0.10744159525810061,0.00036075119120330956,18.756947185320904,0.07667217003836413,18.900763358778626,0.04580152671755755,0.8253471902878691,-0.0004598546859191366,72.17557251908397,0.0763358778626042
RP_only_mechanism_control,auxiliary,2023,133,4.467915468052616,-0.004291102334004648,0.10345350199929651,-0.0009787425776551228,19.09213870282392,-0.1869839673127487,19.3796992481203,-0.16541353383458812,0.873501320869742,0.006502743344848683,72.57894736842105,0.4586466165413583
RP_only_mechanism_control,auxiliary,2024,134,4.58039277324683,-0.0036307683734406737,0.11800369728858147,-0.0002795598934903776,20.952167010967468,-0.06582898334001541,21.53731343283582,-0.1716417910447774,0.8027860696517413,-0.0017910447761194659,71.2089552238806,0.3358208955223887
RP_only_mechanism_control,auxiliary,2025,136,4.620513113363747,-0.02197743093819504,0.11520640722624755,-0.002518317913420706,21.279701435011535,-0.3335115054448963,21.852941176470587,-0.34558823529411953,0.806809024979855,0.003626107977437565,73.38970588235294,0.808823529411768
E4-M_experience_availability_only,missingness_control,2022,131,4.468139873729568,0.001260918988217341,0.10708340994845743,2.565881560126493e-06,18.730810855509414,0.05053584022687474,18.893129770992367,0.03816793893129855,0.8315092430791869,0.005702198105398737,72.09923664122137,0.0
E4-M_experience_availability_only,missingness_control,2023,133,4.473074330817564,0.0008677604309434983,0.10421331563420402,-0.00021892894274760932,19.240913220435214,-0.0382094497014549,19.44736842105263,-0.09774436090225791,0.8708595813858971,0.0038610038610038533,72.45112781954887,0.33082706766917624
E4-M_experience_availability_only,missingness_control,2024,134,4.583976737817876,-4.6803802394634886e-05,0.11831341583522835,3.0158653156503457e-05,20.92533206667264,-0.09266392763484177,21.574626865671643,-0.13432835820895406,0.8044776119402984,-9.95024875622974e-05,71.25373134328358,0.380597014925371
E4-M_experience_availability_only,missingness_control,2025,136,4.626535027255324,-0.015955517046617906,0.11583450013439889,-0.0018902250052693637,21.38151146755241,-0.231701472904021,21.955882352941178,-0.242647058823529,0.8058017727639001,0.0026188557614826857,73.65441176470588,1.07352941176471
