season,tier,candidate_minus_h_nll
2017,middle_fbs,0.10451578348713308
2017,lower_fbs,0.45053401924895553
2017,middle_fbs,-0.25596918577079375
2017,lower_fbs,-0.26354640642188887
2017,middle_fbs,-0.5138970139567656
2017,middle_fbs,-0.041271378572983686
2017,expected_top25,-0.0011036690346313272
2017,lower_fbs,-0.30814118239568966
2017,lower_fbs,0.021567074283676657
2017,lower_fbs,-0.02445803911487765
2017,expected_top25,-0.11644554910279004
2017,middle_fbs,-0.11034746495166114
2017,lower_fbs,0.11351997417831416
2017,lower_fbs,-0.07636558999377918
2017,middle_fbs,0.04183116611323889
2017,middle_fbs,0.43000093042389853
2017,lower_fbs,-0.040776989606408076
2017,expected_top25,-0.009524880687886927
2017,expected_top25,0.6791898014303905
2017,middle_fbs,-0.141308021887105
2017,middle_fbs,0.06877977762909904
2017,lower_fbs,-0.14303021142959338
2017,middle_fbs,-0.34499323601145093
2017,lower_fbs,-0.2107854181654547
2017,middle_fbs,-0.40352271948955387
2017,middle_fbs,0.008543915614710684
2017,lower_fbs,-0.07240277367794334
2017,middle_fbs,0.13522705563901471
2017,middle_fbs,-0.14369200969234086
2017,middle_fbs,-0.03586525661835083
2017,middle_fbs,0.06817589598939122
2017,middle_fbs,-0.019886738854255626
2017,middle_fbs,-0.025819427361291503
2017,middle_fbs,-0.02159357199217471
2017,middle_fbs,-0.23875375783858654
2017,expected_top25,-0.024663744968065338
2018,middle_fbs,0.016018655020122452
2018,lower_fbs,-0.03061842407912696
2018,middle_fbs,0.1476090487434849
2018,middle_fbs,-0.018232862156822627
2018,middle_fbs,0.2872595684484729
2018,middle_fbs,-0.34275613780332925
2018,middle_fbs,-0.03897999212396552
2018,middle_fbs,-0.10116857326028139
2018,middle_fbs,0.025635800475047432
2018,middle_fbs,-0.19387283558407908
2018,lower_fbs,-0.23101030692987212
2018,middle_fbs,-0.04714564660876874
2018,middle_fbs,0.3095097992531075
2018,middle_fbs,-0.018189820627040554
2018,middle_fbs,-0.07686943071431429
2018,middle_fbs,-0.3824089678152687
2018,lower_fbs,-0.2963835962270749
2018,lower_fbs,-0.0733969081555208
2018,middle_fbs,0.455834497054326
2018,lower_fbs,-0.14544500547936945
2018,lower_fbs,-0.026067478688301726
2018,expected_top25,-0.0825458715586227
2018,middle_fbs,-0.06945339320938881
2018,middle_fbs,-0.20098660946080216
2018,expected_top25,0.21915020274875996
2018,middle_fbs,0.01630348361293965
2018,lower_fbs,-0.12594700304172335
2018,expected_top25,0.05340123993989776
2018,lower_fbs,0.2822836874416641
2018,middle_fbs,0.34583592404428654
2018,middle_fbs,-0.06575714037257008
2018,lower_fbs,-0.09747851194479917
2018,lower_fbs,-0.013874299267204293
2018,lower_fbs,-0.08434203565420795
