population,candidate,same_population_keys,target_seasons,n_target_seasons,n_team_seasons,mean_delta_nll,median_delta_nll,wins,losses,ties,worst_season_regression,best_season_improvement,mean_delta_crps,mean_delta_expected_rank_mae,mean_delta_median_rank_mae,mean_delta_top5_brier,mean_delta_top10_brier,mean_delta_top25_brier,descriptive_bootstrap
same_rtp,rtp_recruiting,True,2018;2019;2020;2021;2022;2023;2024;2025,8,1028,-0.006619295139454806,-0.008065950357978746,5,3,0,0.016160301789916787,-0.023003483125100033,-0.000759565807016525,-0.26907328628407257,-0.19940720645539756,-0.0006323567041906361,-0.0013601622016549408,-0.001546145007798515,season-level bootstrap reported in summary.json
same_rtp,rtp_recruiting_talent,True,2018;2019;2020;2021;2022;2023;2024;2025,8,1028,-0.00653148889673183,-0.008608904223323943,5,3,0,0.015548786366816891,-0.022928591702704004,-0.0007603681821189128,-0.2653406841210253,-0.2120359091598072,-0.0006212527162741135,-0.0013778487224794852,-0.001524700057897302,season-level bootstrap reported in summary.json
same_rtp,rtp_recruiting_talent_returning,True,2018;2019;2020;2021;2022;2023;2024;2025,8,1028,-0.020333605916836084,-0.027483529138524254,5,3,0,0.038191689118370675,-0.060888643389787944,-0.002607750828619821,-0.8495798164616866,-0.6521363720624858,-0.0008535217301874126,-0.0014024085330688486,-0.0025630897514119337,season-level bootstrap reported in summary.json
same_rtp,rtp_returning,True,2018;2019;2020;2021;2022;2023;2024;2025,8,1028,-0.011929104231978571,-0.030558221604449542,5,3,0,0.05603362158782765,-0.04250289321374634,-0.0019181820659819292,-0.5526582712077062,-0.41307803068352555,-0.00010528585628365715,-6.907005223444947e-06,-0.0012644725996664719,season-level bootstrap reported in summary.json
same_rtp,rtp_talent,True,2018;2019;2020;2021;2022;2023;2024;2025,8,1028,-0.002319425313443979,-0.001893449986035911,4,4,0,0.020094703640123335,-0.024091505704003424,-9.379938008463769e-05,-0.12182158475043625,-0.03656120685517816,-0.0006963074299346085,-0.0010681070015009968,-0.0008148499922643613,season-level bootstrap reported in summary.json
single_coach,single_coach,True,2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,19,1907,-0.0006424967773967008,-0.0008235547800490295,10,9,0,0.00878791163328696,-0.009225347101958548,-0.00016478700834959178,-0.026077708417474248,-0.04664641511458057,0.00024620058481876397,0.00038096332237797106,-3.805297525100646e-05,season-level bootstrap reported in summary.json
single_recruiting_all,single_recruiting_all,True,2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,18,2238,-0.010987494168899166,-0.015172304762988365,16,2,0,0.04607823437340208,-0.03707349873671539,-0.0014030983046761816,-0.4374746005991028,-0.29709960516092615,-0.0003362693218595963,-0.00038555784853071723,-0.0012222071737546297,season-level bootstrap reported in summary.json
single_recruiting_current,single_recruiting_current,True,2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,19,2381,-0.010488339525366307,-0.012189585498231459,15,4,0,0.03500803677566022,-0.031448687807520415,-0.0012625902649828886,-0.38313892753108136,-0.22739733738897527,-0.00020183717018769284,-0.0002567170779900839,-0.0010758302538970601,season-level bootstrap reported in summary.json
single_recruiting_history,single_recruiting_history,True,2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,18,2238,-0.012407843184340283,-0.014769845747971022,15,3,0,0.013577771918308557,-0.03362117459628955,-0.0015372120585274043,-0.3977842123717278,-0.31711151393639603,-0.0005962461819447756,-0.0005241452572999494,-0.0011840075288172308,season-level bootstrap reported in summary.json
single_returning_all,single_returning_all,True,2017;2018;2019;2020;2021;2022;2023;2024;2025,9,1169,-0.017757916660420925,-0.030600094869320138,6,3,0,0.05886179089678034,-0.06889854752451896,-0.002509109216264129,-0.6658388847254434,-0.5850756124740271,-0.00021862462371734207,-0.00022586874314546398,-0.001625221230757747,season-level bootstrap reported in summary.json
single_returning_passing,single_returning_passing,True,2017;2018;2019;2020;2021;2022;2023;2024;2025,9,1169,-0.00013369306811375183,-0.00018502667257092043,6,3,0,0.0003240869509877342,-0.0007252277010945107,-2.9109797869157474e-05,-0.0077528430041364045,0.0034924813136715865,4.3411075054373357e-07,-1.088924635404831e-05,-4.942868921125702e-06,season-level bootstrap reported in summary.json
single_returning_skill,single_returning_skill,True,2017;2018;2019;2020;2021;2022;2023;2024;2025,9,1169,-0.01229554598507142,-0.017618368993849387,7,2,0,0.04849435031429472,-0.05194415448684886,-0.0015709540292977381,-0.382403567452277,-0.2596563523264648,-0.00015146580812376055,-0.00044921602799811576,-0.0012216450999956172,season-level bootstrap reported in summary.json
single_returning_total,single_returning_total,True,2017;2018;2019;2020;2021;2022;2023;2024;2025,9,1169,-0.018611816447919673,-0.028105614259930967,6,3,0,0.040206249716118414,-0.0637951865799824,-0.002751980822202073,-0.7275214949163554,-0.6849956881540208,-0.0001761015942640578,-3.0103493141984113e-05,-0.00161846593969555,season-level bootstrap reported in summary.json
single_talent,single_talent,True,2018;2019;2020;2021;2022;2023;2024;2025,8,1039,-0.0027548077721971653,-0.0028801364634456483,4,4,0,0.020810431152861852,-0.020954594368872925,-0.00012620843840312028,-0.11494575864914314,-0.027386384975812916,-0.0006772653447150632,-0.0010382470979672567,-0.0006911619693068518,season-level bootstrap reported in summary.json
