population,candidate,target_season,same_population_keys,n_team_seasons,n_training_rows,n_training_seasons,h_n_team_seasons,h_nll,h_crps,h_expected_rank_mae,h_median_rank_mae,h_interval_80_coverage,h_interval_80_average_width,h_top5_brier,h_top10_brier,h_top25_brier,candidate_n_team_seasons,candidate_nll,candidate_crps,candidate_expected_rank_mae,candidate_median_rank_mae,candidate_interval_80_coverage,candidate_interval_80_average_width,candidate_top5_brier,candidate_top10_brier,candidate_top25_brier,delta_n_team_seasons,delta_nll,delta_crps,delta_expected_rank_mae,delta_median_rank_mae,delta_interval_80_coverage,delta_interval_80_average_width,delta_top5_brier,delta_top10_brier,delta_top25_brier
single_recruiting_current,single_recruiting_current,2009,True,116,584,5,116.0,4.408313066162482,0.10270708047788782,16.88245005452457,16.58189655172414,0.8902401477832513,71.52586206896552,0.02218445785059462,0.0397946947395051,0.06308952700597863,116.0,4.3986900683219465,0.10189438058719341,16.589977989930198,16.63362068965517,0.8893165024630544,70.21551724137932,0.02222412280953259,0.04088111084517763,0.06463581997436854,0.0,-0.009622997840535774,-0.0008126998906944072,-0.2924720645943708,0.05172413793103203,-0.000923645320196953,-1.3103448275862064,3.966495893796898e-05,0.001086416105672526,0.0015462929683899146
single_recruiting_current,single_recruiting_current,2010,True,120,700,6,120.0,4.470225329156578,0.11438668099495007,19.103829771819097,19.325,0.840289256198347,69.225,0.025919232311565964,0.046763247928074514,0.09635977642934507,120.0,4.439500938190278,0.10994236892851882,18.107991481219205,18.225,0.8537190082644628,68.0,0.027003472437064562,0.04851166336022877,0.09237933767418154,0.0,-0.03072439096629953,-0.004444312066431255,-0.9958382905998917,-1.0999999999999979,0.013429752066115741,-1.2249999999999943,0.0010842401254985978,0.001748415432154253,-0.003980438755163532
single_recruiting_current,single_recruiting_current,2011,True,120,820,7,120.0,4.428177602374458,0.11043731006432708,18.477883130183738,18.645833333333332,0.8414650537634409,70.46666666666667,0.020841605232164665,0.03661085319714616,0.07816697191590036,120.0,4.4047174759183365,0.10736749873977101,17.689171107110557,18.1375,0.8504032258064517,68.75833333333334,0.02025567773832071,0.0354122884656418,0.07591637655608426,0.0,-0.023460126456121166,-0.003069811324556068,-0.788712023073181,-0.5083333333333329,0.008938172043010728,-1.7083333333333286,-0.0005859274938439553,-0.0011985647315043563,-0.0022505953598161016
single_recruiting_current,single_recruiting_current,2012,True,120,940,8,120.0,4.510475710922348,0.11456734745982024,19.442176669485903,19.8375,0.8600478524743231,73.09166666666667,0.01978501692295079,0.04562184633438538,0.07628127510190395,120.0,4.5071286087735505,0.11462790189861503,19.16818734625484,19.945833333333333,0.8512978524743231,70.55833333333334,0.01832277543877173,0.04152161613504544,0.07176245398976842,0.0,-0.0033471021487976316,6.0554438794796495e-05,-0.2739893232310635,0.10833333333333428,-0.008750000000000036,-2.5333333333333314,-0.001462241484179061,-0.004100230199339944,-0.004518821112135529
single_recruiting_current,single_recruiting_current,2013,True,124,1060,9,124.0,4.483166136884929,0.10846523208878356,19.052038329581276,18.677419354838708,0.8704115684093437,73.95161290322581,0.018484426316961493,0.03572059986910851,0.07255097607897679,124.0,4.4517174490774085,0.10423448510993026,18.04980112775498,17.620967741935484,0.8793103448275862,71.75806451612904,0.019192833486512444,0.03674004253775339,0.06741324459862048,0.0,-0.031448687807520415,-0.0042307469788532975,-1.002237201826297,-1.0564516129032242,0.008898776418242438,-2.1935483870967687,0.0007084071695509508,0.001019442668644878,-0.005137731480356303
single_recruiting_current,single_recruiting_current,2014,True,125,1184,10,125.0,4.431004964906881,0.10161452015221761,18.03935060200132,17.36,0.88,75.128,0.0202418798039049,0.03529025836866435,0.06728401971275266,125.0,4.403352300001724,0.09763397731710646,17.11460178752551,16.576,0.8854513274336283,72.192,0.020557533108258724,0.03531654927791317,0.0656581228431029,0.0,-0.027652664905157387,-0.0039805428351111505,-0.9247488144758123,-0.7839999999999989,0.005451327433628306,-2.936000000000007,0.00031565330435382594,2.6290909248820327e-05,-0.0016258968696497567
single_recruiting_current,single_recruiting_current,2015,True,127,1309,11,127.0,4.486145789203686,0.10650657343753688,18.717476462370396,19.188976377952756,0.8663489432242021,74.25196850393701,0.018929781446698567,0.03436844502405412,0.07055017438524841,127.0,4.4739562037054545,0.10502394724569726,18.390023184174805,18.73228346456693,0.8710457245475894,71.38582677165354,0.018469881930368828,0.034011638145151166,0.07033438753162956,0.0,-0.012189585498231459,-0.0014826261918396144,-0.3274532781955912,-0.45669291338582596,0.004696781323387356,-2.8661417322834666,-0.0004598995163297391,-0.0003568068789029516,-0.00021578685361885175
single_recruiting_current,single_recruiting_current,2016,True,128,1436,12,128.0,4.516146722651607,0.11388341210701416,20.524210762036397,20.51171875,0.8436129385964911,73.96875,0.014667184772383372,0.033133100733660464,0.07555225963850537,128.0,4.505494336606281,0.11303286289411223,20.12619203688992,20.18359375,0.8381990131578947,71.2578125,0.014465068293035982,0.03323069433761229,0.07595043944797605,0.0,-0.010652386045325812,-0.0008505492129019382,-0.3980187251464784,-0.328125,-0.005413925438596423,-2.7109375,-0.00020211647934739035,9.759360395182604e-05,0.00039817980947068343
single_recruiting_current,single_recruiting_current,2017,True,128,1564,13,128.0,4.5824115411629105,0.12024434491156877,21.34422060548942,21.46875,0.82125,76.1015625,0.01509407559088671,0.03733542078469225,0.07202278799545658,128.0,4.5526535314841885,0.1163514476356426,20.770044362899903,20.796875,0.823984375,73.8359375,0.015642022297909876,0.03757571127269062,0.06883714463707961,0.0,-0.029758009678721997,-0.003892897275926163,-0.574176242589516,-0.671875,0.0027343749999999556,-2.265625,0.0005479467070231663,0.00024029048799836805,-0.003185643358376969
single_recruiting_current,single_recruiting_current,2018,True,129,1692,14,129.0,4.483156277052681,0.10933668014854087,19.9543256049882,19.82170542635659,0.849284436493739,76.1937984496124,0.012242177530678194,0.02430493073596757,0.07908188961846037,129.0,4.466869527046907,0.10805946350630204,19.429910778989882,19.612403100775193,0.8583780560524747,73.75968992248062,0.011751228167375774,0.023024616819634317,0.07675432500690382,0.0,-0.016286750005773953,-0.0012772166422388292,-0.524414825998317,-0.2093023255813975,0.009093619558735777,-2.4341085271317837,-0.0004909493633024203,-0.001280313916333254,-0.0023275646115565457
single_recruiting_current,single_recruiting_current,2019,True,130,1821,15,130.0,4.4753649910626665,0.11223648957106878,20.600161904213113,20.48846153846154,0.8562009419152277,76.23846153846154,0.013391766659343439,0.022886807002679466,0.0675872574786233,130.0,4.4744702570642705,0.11268789122616374,20.46963237831864,20.95,0.8524332810047096,73.74615384615385,0.01353827023898111,0.022117633814434254,0.07033846882553914,0.0,-0.0008947339983960134,0.00045140165509495456,-0.13052952589447386,0.4615384615384599,-0.003767660910518056,-2.4923076923076906,0.00014650357963767215,-0.0007691731882452126,0.002751211346915833
single_recruiting_current,single_recruiting_current,2020,True,127,1951,16,127.0,4.5910943477453,0.12640736117233592,20.40399124255471,21.96456692913386,0.7977468201090248,74.38582677165354,0.013188465863833565,0.02873931256178721,0.07942764204479288,127.0,4.607909756307111,0.1279967683951767,20.602631001196407,22.043307086614174,0.7820048455481527,72.92913385826772,0.013501460003820007,0.02838583922421035,0.0792221884273145,0.0,0.016815408561811296,0.0015894072228407885,0.19863975864169703,0.07874015748031482,-0.015741974560872007,-1.4566929133858224,0.0003129941399864413,-0.0003534733375768588,-0.0002054536174783822
single_recruiting_current,single_recruiting_current,2021,True,127,2078,17,127.0,4.532763885473384,0.11653566348517494,21.036426343310968,21.26771653543307,0.8303149606299213,78.29133858267717,0.01757721420304685,0.03812759744553147,0.08337490514630369,127.0,4.535369174456395,0.11659977433194905,21.179117686820653,21.37795275590551,0.8296259842519684,76.45669291338582,0.017476513706453485,0.03826504168318406,0.080788301347094,0.0,0.002605288983011711,6.411084677411527e-05,0.1426913435096857,0.11023622047244075,-0.0006889763779528435,-1.8346456692913478,-0.00010070049659336583,0.00013744423765258557,-0.0025866037992096913
single_recruiting_current,single_recruiting_current,2022,True,129,2205,18,129.0,4.535746606495855,0.11571235700144838,21.229919670972848,21.232558139534884,0.8383300644438219,76.74418604651163,0.01598939101557411,0.03320560876523222,0.0966737242833386,129.0,4.521897085232992,0.1131947205866113,20.30482091799065,20.62015503875969,0.8322592696366863,75.02325581395348,0.015208075497326235,0.032352239973791726,0.09559992543875652,0.0,-0.013849521262862652,-0.002517636414837085,-0.9250987529821977,-0.6124031007751931,-0.006070794807135571,-1.7209302325581461,-0.0007813155182478746,-0.0008533687914404967,-0.0010737988445820856
