bin,control,correlation,early_defense_mean,early_offense_mean,kind,lag,late_defense_mean,late_offense_mean,n_games,n_pairs,period,relation,scale,season,slope,team_id
,,,-3.210933353056075,4.7015906858242875,early_late,,-0.39951862701877844,5.987222736193175,14,,training,,,2008,,2026
,,,6.2714462319832975,-9.091812404804749,early_late,,13.436099510694243,-3.5993813483160237,9,,training,,,2008,,2029
,,,3.174150080370648,2.9610055428431523,early_late,,3.0596235357463475,-6.441546054896925,12,,training,,,2008,,2032
,,,-0.6623387294552749,4.003158346568117,early_late,,1.1118642348743915,-6.469076383820356,13,,training,,,2008,,204
,,,4.631757928033926,-3.3815007087541202,early_late,,-0.07540479822402031,1.9780032316545997,11,,training,,,2008,,2046
,,,1.8900705382321952,-0.9356490068832696,early_late,,-4.611503026155423,-2.2722146729016464,14,,training,,,2008,,2050
,,,5.088355332248,0.07509669545995337,early_late,,0.7145044062886825,-7.732087563832697,11,,training,,,2008,,2065
,,,-2.9275875817448793,0.6591537814670744,early_late,,-3.3367970376000424,0.3832776589452453,11,,training,,,2008,,2083
,,,-1.0265075443335354,-1.0991057064053784,early_late,,-3.3196631257095097,2.591053798972838,14,,training,,,2008,,2084
,,,5.194930338426524,8.3038939238607,early_late,,-8.638360495629687,-1.7516191324177335,8,,training,,,2008,,2086
,,,-8.895581599775676,-9.592173569897056,early_late,,-11.420285692127612,-12.589099884471219,8,,training,,,2008,,2097
,,,5.585316580239032,-1.4350644713244252,early_late,,-7.372129717479054,1.626700691877673,12,,training,,,2008,,21
,,,-2.3078952226034346,-8.921153859391481,early_late,,-12.758980724559182,10.04788032107249,3,,training,,,2008,,2110
,,,-3.511989561136283,1.2747518020756714,early_late,,3.246050139810528,0.26242113265211015,11,,training,,,2008,,2115
,,,4.9072185548520375,-6.472592649342125,early_late,,10.64688915965055,-7.854280430992723,12,,training,,,2008,,2116
,,,-1.915606206426186,-3.962084077287015,early_late,,-6.7146325886709235,2.704426792634329,13,,training,,,2008,,2117
,,,-1.614403546212356,-3.29156643706463,early_late,,5.036000251138432,-5.777258385649614,10,,training,,,2008,,2127
,,,3.2385539550136007,4.025409417486103,early_late,,3.9858692477939797,-1.0236427994721968,13,,training,,,2008,,213
,,,-1.4863927427166108,-8.026398002117789,early_late,,4.6900909063186145,-8.033706855233277,14,,training,,,2008,,2132
