actual_margin,actual_total_points,away_score_mae,away_score_nll,away_team_id,candidate,cutoff,cutoff_index,expected_away_points,expected_home_points,expected_margin,home_score_mae,home_score_nll,home_team_id,margin_mae,margin_nll,phase,season,target_date,target_game_id,target_kind,total_points_mae,total_points_nll,win_brier,win_probability
5.0,,,,238,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,10.145051283180205,,,87,5.145051283180205,3.8277641164150866,early,2018,2018-09-15T18:30:00+00:00,401012283,next_game,,,0.07558214293282857,0.7250779329831296
17.0,,,,2083,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,9.018894526608092,,,219,7.981105473391908,4.026391677329142,early,2018,2018-09-15T19:00:00+00:00,401029867,next_game,,,0.11022688747961511,0.667995651414601
32.0,,,,2464,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,-7.363224220371924,,,2623,39.363224220371926,5.884168459539043,early,2018,2018-09-15T19:00:00+00:00,401030107,next_game,,,0.4283677703539,0.3455018943083945
-6.0,,,,2382,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,10.861070803066685,,,2535,16.861070803066685,4.318815318943588,early,2018,2018-09-15T19:00:00+00:00,401030277,next_game,,,0.5118799483261053,0.7154578592245006
23.0,,,,2681,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,5.781093513917082,,,147,17.21890648608292,4.24690283066288,early,2018,2018-09-15T19:00:00+00:00,401030397,next_game,,,0.1507590701551768,0.61172294665384
-1.0,,,,99,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,8.140167038580737,,,2,9.140167038580737,3.899763502253105,early,2018,2018-09-15T19:30:00+00:00,401012273,next_game,,,0.4740167244713603,0.6884887250139687
-6.0,,,,58,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,-9.468245413498186,,,356,3.4682454134981864,3.8181199193246633,early,2018,2018-09-15T19:30:00+00:00,401012806,next_game,,,0.08602730002486857,0.29330410843503124
25.0,,,,2567,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,29.689851109355214,,,130,4.689851109355214,3.7092523115864324,early,2018,2018-09-15T19:30:00+00:00,401012890,next_game,,,0.0011197291137272408,0.966537646321168
-13.0,,,,150,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,-9.576022245227218,,,239,3.423977754772782,3.7594411675819877,early,2018,2018-09-15T19:30:00+00:00,401013028,next_game,,,0.08005065724597399,0.28293224850832044
23.0,,,,193,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,22.59262704293193,,,135,0.40737295706806975,3.714152686567001,early,2018,2018-09-15T19:30:00+00:00,401013330,next_game,,,0.008087532302415441,0.91006929166066
