season,cutoff,anchor_family,method,team_id,team_name,subdivision,conference,rated,games_played,eligible_evidence_count,expected_rank,median_rank,mode_rank,interval_50_low,interval_50_high,interval_80_low,interval_80_high,interval_95_low,interval_95_high,top5_probability,top10_probability,top25_probability,interval_50_width,interval_80_width,interval_95_width,week_through_cutoff,display_rank
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,151,East Carolina,fbs,,True,1,1,93.9803528277225,101,135,72,121,44,132,23,137,0.0015954930068932222,0.004770992480506221,0.03097956289482825,49,88,114,1,107
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,24,Stanford,fbs,,True,2,2,95.73748196855297,101,118,77,119,53,129,31,136,0.0003811809935481368,0.00137753331772043,0.01434953397294469,42,76,105,1,108
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,195,Ohio,fbs,,True,1,1,95.92869745860804,103,135,75,122,48,132,25,137,0.00158012005837766,0.004528613062096285,0.026339939975051425,47,84,112,1,109
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,25,California,fbs,,True,1,1,98.2404955869609,105,138,78,124,51,133,27,137,0.001401007561974347,0.003967931159952605,0.022742779173604212,46,82,110,1,110
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2084,Buffalo,fbs,,True,1,1,98.67349711353374,107,138,80,125,49,133,23,137,0.003595060958888537,0.008002169633090445,0.03125410905783273,45,84,114,1,111
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,278,Fresno State,fbs,,True,1,1,99.713379136576,107,138,81,125,53,133,28,137,0.0009820258589291584,0.002966587434344031,0.02018793515636187,44,80,109,1,112
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2459,Northern Illinois,fbs,,True,1,1,100.91885261981294,109,138,82,126,54,134,29,137,0.0009021741617321046,0.002729420605583643,0.01875464341326589,44,80,108,1,113
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,228,Clemson,fbs,,True,1,1,102.23250631851903,110,138,85,126,57,134,30,137,0.0007935791955417308,0.00240910310231843,0.01682107807802576,41,77,107,1,114
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2751,Wyoming,fbs,,True,1,1,103.78984582261539,112,138,87,128,59,134,31,138,0.0012912011264705038,0.003359472689184923,0.01651347378920031,41,75,107,1,115
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,62,Hawai'i,fbs,,True,2,2,103.93924718985225,110,127,89,124,66,132,42,137,0.000165206699997305,0.0005802768637467185,0.005676982902724654,35,66,95,1,116
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2050,Ball State,fbs,,True,1,1,104.42805636796568,113,138,88,128,58,135,30,138,0.000676190972868424,0.0020926226713989977,0.015918563191564688,40,77,108,1,117
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2117,Central Michigan,fbs,,True,1,1,104.77381216525878,113,138,88,128,61,135,33,138,0.0008248963239651813,0.002327790993705375,0.013800042258967252,40,74,105,1,118
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,189,Bowling Green,fbs,,True,1,1,104.91703890904535,113,138,90,128,62,134,30,138,0.0018857177437469304,0.004257749969381096,0.01788749936987941,38,72,108,1,119
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,276,Marshall,fbs,,True,1,1,105.22675899142422,114,138,89,128,61,135,33,138,0.0006140517983424389,0.001876982709239152,0.013585804529210049,39,74,105,1,120
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2638,UTEP,fbs,,True,1,1,106.92900847129236,116,138,92,129,64,135,34,138,0.0005192721611471964,0.0016033478995565596,0.012138454847537916,37,71,104,1,121
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2623,Missouri State,fbs,,True,1,1,107.70764429554886,116,138,93,130,65,135,35,138,0.00048261752751407964,0.0014859020274995299,0.011165583807025942,37,70,103,1,122
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,326,Texas State,fbs,,True,1,1,107.71705236694542,117,138,93,130,65,135,35,138,0.0004890588027679854,0.0015094234328310945,0.011461845555471585,37,70,103,1,123
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2226,Florida Atlantic,fbs,,True,1,1,108.531097453062,117,138,95,130,68,135,37,138,0.00044848695050768504,0.0013584409339228293,0.009766302656005196,35,67,101,1,124
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2429,Charlotte,fbs,,True,1,1,109.3468035794434,119,138,97,130,68,136,32,138,0.0016998192242098267,0.0037952119241232147,0.015479321195213135,33,68,106,1,125
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,193,Miami (OH),fbs,,True,1,1,109.37676412382869,118,138,96,130,69,135,39,138,0.0004182169952883494,0.0012600224040198384,0.008987361704891794,34,66,99,1,126
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,328,Utah State,fbs,,True,1,1,109.57972993995752,118,138,97,130,71,135,36,138,0.0012562091671371343,0.002844634662766934,0.01221997779822643,33,64,102,1,127
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,98,Western Kentucky,fbs,,True,1,1,113.13597194124287,122,138,102,132,76,136,45,138,0.00047398593571242666,0.0012558904718868637,0.006793013511466984,30,60,93,1,128
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2433,UL Monroe,fbs,,True,1,1,113.20915288849852,122,138,103,132,77,136,45,138,0.0002986939904237179,0.0008829074246440682,0.00618063024866982,29,59,93,1,129
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2309,Kent State,fbs,,True,1,1,114.71008731160562,123,138,105,132,80,136,47,138,0.00025668873958266934,0.0007659467889331733,0.005546474574400576,27,56,91,1,130
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,164,Rutgers,fbs,,True,1,1,115.8964627008016,126,138,107,134,79,137,45,138,0.0009842644031181937,0.0022913381787443496,0.00875676140836052,27,58,93,1,131
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,97,Louisville,fbs,,False,0,0,69.50000000000001,70,1,35,104,14,125,4,135,0.036231884057971016,0.07246376811594203,0.18115942028985507,69,111,131,1,
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,87,Notre Dame,fbs,,False,0,0,69.50000000000001,70,1,35,104,14,125,4,135,0.036231884057971016,0.07246376811594203,0.18115942028985507,69,111,131,1,
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,145,Ole Miss,fbs,,False,0,0,69.50000000000001,70,1,35,104,14,125,4,135,0.036231884057971016,0.07246376811594203,0.18115942028985507,69,111,131,1,
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2567,SMU,fbs,,False,0,0,69.50000000000001,70,1,35,104,14,125,4,135,0.036231884057971016,0.07246376811594203,0.18115942028985507,69,111,131,1,
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,264,Washington,fbs,,False,0,0,69.50000000000001,70,1,35,104,14,125,4,135,0.036231884057971016,0.07246376811594203,0.18115942028985507,69,111,131,1,
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,265,Washington State,fbs,,False,0,0,69.50000000000001,70,1,35,104,14,125,4,135,0.036231884057971016,0.07246376811594203,0.18115942028985507,69,111,131,1,
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,275,Wisconsin,fbs,,False,0,0,69.50000000000001,70,1,35,104,14,125,4,135,0.036231884057971016,0.07246376811594203,0.18115942028985507,69,111,131,1,
