season,cutoff_label,prior_family,population_view,candidate,n_teams,nll,crps,interval_80_coverage,interval_80_width,mean_entropy,mean_max_probability
2022,q5_2022-11-09,context,full,y2_supported,131,4.006668726962716,0.030976127909886957,0.7553573070909593,32.51145038167939,3.8169919162184214,0.047193121832631205
2022,q5_2022-11-09,history,full,v1,131,3.994105164405072,0.03036352763010565,0.7673135289248598,33.6412213740458,3.8569058216094594,0.04461525151418092
2022,q5_2022-11-09,history,full,y1,131,3.994105164405072,0.03036352763010565,0.7673135289248598,33.6412213740458,3.8569058216094594,0.04461525151418092
2022,q5_2022-11-09,history,full,y2_all_pairings_original,131,4.036008446608656,0.03277822429562093,0.7480916030534351,32.954198473282446,3.8340332897543457,0.04587417025445337
2022,q5_2022-11-09,history,full,y2_supported,131,4.017386163914134,0.031901821679450305,0.75370183022165,32.86259541984733,3.8364581155559727,0.04551163697379346
2022,q6_2022-11-23,context,full,v1,131,3.8633682297441445,0.02139909888688084,0.8041019037983997,30.366412213740457,3.7541795781382223,0.04928596322421933
2022,q6_2022-11-23,context,full,y1,131,3.8633682297441445,0.02139909888688084,0.8041019037983997,30.366412213740457,3.7541795781382223,0.04928596322421933
2022,q6_2022-11-23,context,full,y2_all_pairings_original,131,3.9464829918093844,0.025993312335106367,0.762898923940035,29.61832061068702,3.7283790303128415,0.05067359881756313
2022,q6_2022-11-23,context,full,y2_supported,131,3.8820809571891552,0.022615234396379264,0.7857077163616297,29.65648854961832,3.735075935624716,0.05006004043297302
2022,q6_2022-11-23,history,full,v1,131,3.861466954112231,0.021426167112538436,0.7990435022532879,30.755725190839694,3.774166837622627,0.047503117764947034
2022,q6_2022-11-23,history,full,y1,131,3.861466954112231,0.021426167112538436,0.7990435022532879,30.755725190839694,3.774166837622627,0.047503117764947034
2022,q6_2022-11-23,history,full,y2_all_pairings_original,131,3.9191164394128863,0.02480688586097517,0.7740274073392809,30.083969465648856,3.748756829394002,0.0488370934046704
2022,q6_2022-11-23,history,full,y2_supported,131,3.8855726241814383,0.02304200220174365,0.7863515129219167,30.099236641221374,3.7528020552110584,0.04842634929186063
2022,q7_2022-12-10,context,full,v1,131,3.808724471069416,0.019460797308947102,0.7965602869493239,29.022900763358777,3.718152194795912,0.05037161246472642
2022,q7_2022-12-10,context,full,y1,131,3.808724471069416,0.019460797308947102,0.7965602869493239,29.022900763358777,3.718152194795912,0.05037161246472642
2022,q7_2022-12-10,context,full,y2_all_pairings_original,131,3.909923137515968,0.024518552780664716,0.7564609583371654,28.3206106870229,3.6894207708511213,0.051828375392683805
2022,q7_2022-12-10,context,full,y2_supported,131,3.834776842373221,0.02074890301170276,0.7807412857537019,28.480916030534353,3.697743263243858,0.05143679404099167
2022,q7_2022-12-10,context,full,naive_independent_diagnostic,131,4.051748679989983,0.025839096549039587,0.6797571967258347,23.236641221374047,3.5201661024293682,0.05949486790356281
2022,q7_2022-12-10,context,supported_ypp_observed,v1,131,3.805106260115564,0.01935240220662943,0.7981237928814494,29.389312977099237,3.7311997287581447,0.049695385329269814
2022,q7_2022-12-10,context,supported_ypp_observed,y1,131,3.805106260115564,0.01935240220662943,0.7981237928814494,29.389312977099237,3.7311997287581447,0.049695385329269814
2022,q7_2022-12-10,context,supported_ypp_observed,y2_all_pairings_original,131,3.827165729411487,0.02046894816054293,0.7815690241883565,28.709923664122137,3.711007339477326,0.05068927373508759
2022,q7_2022-12-10,context,supported_ypp_observed,y2_supported,131,3.827174192364952,0.02046935721030883,0.7815690241883565,28.709923664122137,3.7110059580835024,0.05068941871213828
2022,q7_2022-12-10,history,full,v1,131,3.8010388363437015,0.018913069261854272,0.8005150372482296,29.480916030534353,3.7372565386319994,0.04885940890868697
2022,q7_2022-12-10,history,full,y1,131,3.8010388363437015,0.018913069261854272,0.8005150372482296,29.480916030534353,3.7372565386319994,0.04885940890868697
