target_season,candidate,n_team_seasons,nll,crps,expected_rank_mae,median_rank_mae,interval_80_coverage,interval_80_average_width,top5_brier,top10_brier,top25_brier,training_rows
2008,H_window_10,119,4.474942478132562,0.1141044629399451,18.805608319593127,18.91176470588235,0.843262304921969,70.3529411764706,0.02770986574274977,0.051062124462732596,0.08645278787876949,472
2008,H_window_7,119,4.474942478132562,0.1141044629399451,18.805608319593127,18.91176470588235,0.843262304921969,70.3529411764706,0.02770986574274977,0.051062124462732596,0.08645278787876949,472
2008,H_window_5,119,4.474942478132562,0.1141044629399451,18.805608319593127,18.91176470588235,0.843262304921969,70.3529411764706,0.02770986574274977,0.051062124462732596,0.08645278787876949,472
2009,H_static,120,4.39554677891532,0.10337954005271044,17.18303299158324,16.7375,0.8857886904761905,71.38333333333334,0.021370716022873118,0.03835739118540062,0.06105129576858125,591
2009,C_static,120,4.415535429350379,0.10623013016059257,17.3909671896176,17.504166666666666,0.8670386904761905,67.675,0.02012616560772525,0.038560961621509446,0.06037265378331713,591
2009,H_hl_15,120,4.395592943256136,0.10336474624729822,17.169709902928414,16.745833333333334,0.8858630952380953,71.35,0.02139297153541042,0.03837692985890738,0.06108283693061603,591
2009,C_context_hl_15,120,4.418868898282951,0.10620988370497493,17.404488103022945,17.745833333333334,0.8811755952380954,67.98333333333333,0.020062174529359846,0.037020686596254855,0.05769501525508766,591
2009,H_hl_10,120,4.395617269844752,0.10335742923196135,17.163363580097027,16.729166666666668,0.8860119047619047,71.34166666666667,0.02140384888910596,0.03838615265982164,0.06109931491186133,591
2009,C_context_hl_10,120,4.417314108258428,0.10602283173558054,17.379941640518464,17.7125,0.8834077380952382,68.03333333333333,0.02003021398350293,0.036973709617639704,0.0576060359913352,591
2009,H_hl_7,120,4.395650920358168,0.10334803029320302,17.15502709987819,16.754166666666666,0.8858630952380953,71.325,0.021416678573599322,0.038396452933045305,0.06112093568038436,591
2009,C_context_hl_7,120,4.41551909778031,0.10580796994814955,17.350757064873257,17.654166666666665,0.8861607142857142,68.06666666666666,0.01998955324049664,0.036916889072007554,0.05751006858878684,591
2009,H_hl_5,120,4.3956945724408065,0.10333548359012619,17.143528847637715,16.7625,0.8869791666666667,71.26666666666667,0.021432792012218708,0.03840859112288406,0.06115062835252402,591
2009,C_context_hl_5,120,4.4134611587797945,0.10556444398551168,17.315909285311452,17.604166666666668,0.8892113095238096,68.20833333333333,0.01993614066499518,0.03684675099321449,0.057410396921703716,591
2009,H_hl_3,120,4.395804731689933,0.10330820287568648,17.11570256669354,16.7125,0.8870535714285714,71.20833333333333,0.021465112833857523,0.03842880268361936,0.061224405853506865,591
2009,C_context_hl_3,120,4.409989269053366,0.10517085963162845,17.27149207387499,17.520833333333332,0.8928571428571428,68.28333333333333,0.019815658724230124,0.03670502313754968,0.05727943551456407,591
2009,H_window_15,120,4.39554677891532,0.10337954005271044,17.18303299158324,16.7375,0.8857886904761905,71.38333333333334,0.021370716022873118,0.03835739118540062,0.06105129576858125,591
2009,H_window_10,120,4.39554677891532,0.10337954005271044,17.18303299158324,16.7375,0.8857886904761905,71.38333333333334,0.021370716022873118,0.03835739118540062,0.06105129576858125,591
