era,start_season,end_season,feature,n,n_observed,missingness,mean,median,variance,p10,p90
2020-2025,2020,2025,recruiting_class_rank,782,781,0.0012787723785165905,66.56081946222791,66.0,1545.7290154616444,14.0,119.0
2020-2025,2020,2025,recruiting_class_points,782,781,0.0012787723785165905,178.6840845070422,175.32,3192.1162605255095,115.82,258.5
2020-2025,2020,2025,recruiting_points_2y_mean,782,782,0.0,178.38421355498724,176.075,2885.3369762037555,120.071,259.02399999999994
2020-2025,2020,2025,recruiting_points_3y_mean,782,782,0.0,177.91341432225065,175.98833333333334,2779.1845547248986,118.44066666666667,257.5
2020-2025,2020,2025,recruiting_points_4y_mean,782,782,0.0,177.3515196078432,175.33625,2700.014413947186,121.116,258.05325
2020-2025,2020,2025,recruiting_points_trend,782,774,0.010230179028132946,1.7253359173126612,1.6000000000000085,1132.1174334142913,-35.962999999999994,40.180000000000014
2020-2025,2020,2025,talent_composite,782,780,0.002557544757033292,598.994217948718,611.025,35857.84523284993,372.19800000000004,854.9430000000001
2020-2025,2020,2025,returning_pct_ppa,782,782,0.0,0.5359590792838874,0.553,0.07672184487280957,0.2091,0.8539
2020-2025,2020,2025,returning_pct_passing_ppa,782,782,0.0,0.4547736572890026,0.5605,1.49142994493266,0.0,1.0
2020-2025,2020,2025,returning_pct_receiving_ppa,782,782,0.0,0.5432915601023017,0.5505,0.054473564609075036,0.236,0.8397999999999999
2020-2025,2020,2025,returning_pct_rushing_ppa,782,782,0.0,0.5598772378516623,0.5705,0.8640865629345701,0.03610000000000001,1.0139
