season,team_id,expected_rank_absolute_difference,js_divergence,moved_over_5,moved_over_10,moved_over_20
2008,309,2.964041561093282,0.002120552388967081,False,False,False
2008,328,9.062104383765714,0.04687459945958248,True,False,False
2008,333,6.8940073456766555,0.007392162505539089,True,False,False
2008,344,4.7337812728150155,0.003611968306856125,False,False,False
2008,349,12.843699192938686,0.06458260729356946,True,True,False
2008,356,13.654225482476463,0.028800958021504626,True,True,False
2008,36,6.64762042708108,0.007763661845146432,True,False,False
2008,38,10.853626556507336,0.018118666883900965,True,True,False
2008,41,5.163289475781298,0.004613870734219616,True,False,False
2008,5,1.7593932267050008,0.0012389905849892239,False,False,False
2008,52,18.216812048443078,0.0667781024230132,True,True,False
2008,57,0.9646908025228313,0.0004022483783971018,False,False,False
2008,58,5.788773909561222,0.005750328803788358,True,False,False
2008,59,3.2885311300745315,0.0018542792464797501,False,False,False
2008,61,1.6777936841841896,0.001277705411652012,False,False,False
2008,62,8.159282867012358,0.010801635145921584,True,False,False
2008,66,8.37314636275643,0.011214976425435074,True,False,False
