game_id,season,pairing,team,field,official_value,source,result,cached_value
401282717,2021,FBS-FBS,Illinois,sacks,4,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,4
401282717,2021,FBS-FBS,Illinois,sack_yards,26,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,unavailable,
401282717,2021,FBS-FBS,Illinois,interceptions_thrown,1,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,1
401282717,2021,FBS-FBS,Illinois,total_fumbles,3,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,3
401282717,2021,FBS-FBS,Illinois,fumbles_lost,2,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,2
401282717,2021,FBS-FBS,Illinois,first_downs,26,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,26
401282717,2021,FBS-FBS,Illinois,penalties,4,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,4
401282717,2021,FBS-FBS,Illinois,penalty_yards,50,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,50
401282717,2021,FBS-FBS,Illinois,punts,4,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,unavailable,
401282717,2021,FBS-FBS,Illinois,punt_yards,172,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,unavailable,
401282717,2021,FBS-FBS,Penn State,total_yards,227,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,227
401282717,2021,FBS-FBS,Penn State,rushing_yards,62,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,62
401282717,2021,FBS-FBS,Penn State,rushing_attempts,29,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,29
401282717,2021,FBS-FBS,Penn State,passing_yards,165,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,165
401282717,2021,FBS-FBS,Penn State,pass_attempts,34,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,34
401282717,2021,FBS-FBS,Penn State,completions,19,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,19
401282717,2021,FBS-FBS,Penn State,offensive_plays_derived,63,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,63
401282717,2021,FBS-FBS,Penn State,sacks,4,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,4
401282717,2021,FBS-FBS,Penn State,sack_yards,31,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,unavailable,
401282717,2021,FBS-FBS,Penn State,interceptions_thrown,0,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,0
401282717,2021,FBS-FBS,Penn State,total_fumbles,0,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,mismatch,1
401282717,2021,FBS-FBS,Penn State,fumbles_lost,0,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,0
401282717,2021,FBS-FBS,Penn State,first_downs,14,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,14
401282717,2021,FBS-FBS,Penn State,penalties,7,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,7
401282717,2021,FBS-FBS,Penn State,penalty_yards,81,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,81
401282717,2021,FBS-FBS,Penn State,punts,8,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,unavailable,
401282717,2021,FBS-FBS,Penn State,punt_yards,375,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,unavailable,
401628379,2024,FBS-FBS,Tennessee,total_yards,332,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,332
401628379,2024,FBS-FBS,Tennessee,rushing_yards,174,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,174
401628379,2024,FBS-FBS,Tennessee,rushing_attempts,36,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,36
401628379,2024,FBS-FBS,Tennessee,passing_yards,158,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,158
401628379,2024,FBS-FBS,Tennessee,pass_attempts,29,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,29
401628379,2024,FBS-FBS,Tennessee,completions,17,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,17
401628379,2024,FBS-FBS,Tennessee,offensive_plays_derived,65,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,65
401628379,2024,FBS-FBS,Tennessee,sacks,2,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,2
401628379,2024,FBS-FBS,Tennessee,sack_yards,9,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,unavailable,
401628379,2024,FBS-FBS,Tennessee,interceptions_thrown,0,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,0
401628379,2024,FBS-FBS,Tennessee,total_fumbles,1,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,1
401628379,2024,FBS-FBS,Tennessee,fumbles_lost,0,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,0
401628379,2024,FBS-FBS,Tennessee,first_downs,16,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,16
401628379,2024,FBS-FBS,Tennessee,penalties,10,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,10
401628379,2024,FBS-FBS,Tennessee,penalty_yards,60,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,60
401628379,2024,FBS-FBS,Tennessee,punts,7,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,unavailable,
401628379,2024,FBS-FBS,Tennessee,punt_yards,299,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,unavailable,
401628379,2024,FBS-FBS,Arkansas,total_yards,434,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,mismatch,431
401628379,2024,FBS-FBS,Arkansas,rushing_yards,137,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,mismatch,134
401628379,2024,FBS-FBS,Arkansas,rushing_attempts,44,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,44
401628379,2024,FBS-FBS,Arkansas,passing_yards,297,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,297
401628379,2024,FBS-FBS,Arkansas,pass_attempts,30,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,30
401628379,2024,FBS-FBS,Arkansas,completions,21,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,21
401628379,2024,FBS-FBS,Arkansas,offensive_plays_derived,74,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,74
401628379,2024,FBS-FBS,Arkansas,sacks,4,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,4
401628379,2024,FBS-FBS,Arkansas,sack_yards,19,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,unavailable,
401628379,2024,FBS-FBS,Arkansas,interceptions_thrown,0,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,0
401628379,2024,FBS-FBS,Arkansas,total_fumbles,2,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,2
401628379,2024,FBS-FBS,Arkansas,fumbles_lost,0,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,0
401628379,2024,FBS-FBS,Arkansas,first_downs,23,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,23
401628379,2024,FBS-FBS,Arkansas,penalties,6,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,6
401628379,2024,FBS-FBS,Arkansas,penalty_yards,45,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,verified,45
401628379,2024,FBS-FBS,Arkansas,punts,3,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,unavailable,
401628379,2024,FBS-FBS,Arkansas,punt_yards,172,https://utsports.com/sports/football/stats/2024/arkansas/boxscore/28878,unavailable,
