protocol,target_season,train_through,candidate,candidate_name,feature,feature_role,standardized_location_coefficient,sign,magnitude,change_from_previous_fit,location_missingness_coefficient,standardized_scale_coefficient,training_source_available_n,training_source_unresolved_n,training_source_available_fraction
rolling_origin,2024,2023,P4,P4_D5_plus_all_position_groups,transfer_in_prior_usage_sum,baseline,-0.05278378031031135,negative,0.05278378031031135,0.004349534956002571,0.0745250581960225,0.0,322,2155,0.12999596285829632
rolling_origin,2024,2023,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_dl_edge_sum,defensive_value,-0.0005307291639850523,negative,0.0005307291639850523,-0.00323510467944799,0.0,0.0,276,2201,0.11142511102139685
rolling_origin,2024,2023,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_dl_edge_available,availability,0.03736265904934762,positive,0.03736265904934762,0.018053705100676103,0.0,0.0,276,2201,0.11142511102139685
rolling_origin,2024,2023,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_lb_sum,defensive_value,-0.015634004952266255,negative,0.015634004952266255,-0.0074964136027796235,0.0,0.0,298,2179,0.12030682276947921
rolling_origin,2024,2023,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_lb_available,availability,0.00042042002300361693,positive,0.00042042002300361693,0.022808819095785086,0.0,0.0,298,2179,0.12030682276947921
rolling_origin,2024,2023,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_db_sum,defensive_value,-0.012069811669419424,negative,0.012069811669419424,-0.007170232163754614,0.0,0.0,254,2223,0.10254339927331449
rolling_origin,2024,2023,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_db_available,availability,-0.0037604928063743417,negative,0.0037604928063743417,-0.021166838218259907,0.0,0.0,254,2223,0.10254339927331449
rolling_origin,2025,2024,P1,P1_D5_plus_dl_edge,returning_pct_ppa,baseline,-0.22187452581071349,negative,0.22187452581071349,0.004741486253450167,-0.022208769643417663,0.0,1415,1195,0.5421455938697318
rolling_origin,2025,2024,P1,P1_D5_plus_dl_edge,transfer_in_prior_usage_sum,baseline,-0.07952657927594418,negative,0.07952657927594418,-0.023123138841234542,0.08509803859845098,0.0,451,2159,0.1727969348659004
rolling_origin,2025,2024,P1,P1_D5_plus_dl_edge,transfer_in_prior_defensive_impact_dl_edge_sum,defensive_value,-0.014027792656058993,negative,0.014027792656058993,-0.01057045978938629,0.0,0.0,345,2265,0.13218390804597702
rolling_origin,2025,2024,P1,P1_D5_plus_dl_edge,transfer_in_prior_defensive_impact_dl_edge_available,availability,0.017707060318964046,positive,0.017707060318964046,-0.019676262645755678,0.0,0.0,345,2265,0.13218390804597702
rolling_origin,2025,2024,P2,P2_D5_plus_lb,returning_pct_ppa,baseline,-0.22159047331983797,negative,0.22159047331983797,0.004074558250288213,-0.02158429843401236,0.0,1415,1195,0.5421455938697318
rolling_origin,2025,2024,P2,P2_D5_plus_lb,transfer_in_prior_usage_sum,baseline,-0.07990732231055478,negative,0.07990732231055478,-0.02447754202673575,0.07866852267627886,0.0,451,2159,0.1727969348659004
rolling_origin,2025,2024,P2,P2_D5_plus_lb,transfer_in_prior_defensive_impact_lb_sum,defensive_value,-0.017319956632644528,negative,0.017319956632644528,0.0011688832625505012,0.0,0.0,404,2206,0.15478927203065135
rolling_origin,2025,2024,P2,P2_D5_plus_lb,transfer_in_prior_defensive_impact_lb_available,availability,0.014250477952241944,positive,0.014250477952241944,0.0003710239066255991,0.0,0.0,404,2206,0.15478927203065135
rolling_origin,2025,2024,P3,P3_D5_plus_db,returning_pct_ppa,baseline,-0.22124763164317532,negative,0.22124763164317532,0.0035491546008102615,-0.021086615822549122,0.0,1415,1195,0.5421455938697318
rolling_origin,2025,2024,P3,P3_D5_plus_db,transfer_in_prior_usage_sum,baseline,-0.07962994169340307,negative,0.07962994169340307,-0.023478302507399122,0.09052047343329594,0.0,451,2159,0.1727969348659004
rolling_origin,2025,2024,P3,P3_D5_plus_db,transfer_in_prior_defensive_impact_db_sum,defensive_value,-0.02306978666155157,negative,0.02306978666155157,-0.007553792585567376,0.0,0.0,335,2275,0.12835249042145594
rolling_origin,2025,2024,P3,P3_D5_plus_db,transfer_in_prior_defensive_impact_db_available,availability,0.02507656692091458,positive,0.02507656692091458,0.014041464908775394,0.0,0.0,335,2275,0.12835249042145594
rolling_origin,2025,2024,P4,P4_D5_plus_all_position_groups,returning_pct_ppa,baseline,-0.22056202489997956,negative,0.22056202489997956,0.005122256818697907,-0.021540449972253232,0.0,1415,1195,0.5421455938697318
rolling_origin,2025,2024,P4,P4_D5_plus_all_position_groups,transfer_in_prior_usage_sum,baseline,-0.0762672887914274,negative,0.0762672887914274,-0.02348350848111605,0.09642007121521669,0.0,451,2159,0.1727969348659004
rolling_origin,2025,2024,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_dl_edge_sum,defensive_value,-0.01115844040559557,negative,0.01115844040559557,-0.010627711241610518,0.0,0.0,345,2265,0.13218390804597702
rolling_origin,2025,2024,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_dl_edge_available,availability,0.007065638249528529,positive,0.007065638249528529,-0.030297020799819094,0.0,0.0,345,2265,0.13218390804597702
rolling_origin,2025,2024,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_lb_sum,defensive_value,-0.014613825851443135,negative,0.014613825851443135,0.0010201791008231202,0.0,0.0,404,2206,0.15478927203065135
rolling_origin,2025,2024,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_lb_available,availability,0.005191574818698299,positive,0.005191574818698299,0.0047711547956946826,0.0,0.0,404,2206,0.15478927203065135
rolling_origin,2025,2024,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_db_sum,defensive_value,-0.021958330341297794,negative,0.021958330341297794,-0.00988851867187837,0.0,0.0,335,2275,0.12835249042145594
rolling_origin,2025,2024,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_db_available,availability,0.021293880345793353,positive,0.021293880345793353,0.025054373152167696,0.0,0.0,335,2275,0.12835249042145594
