comparison,protocol,season,subdivision,team_id,team_name,candidate,reference,candidate_nll,reference_nll,delta_nll
P1_vs_P0,frozen_through_2021,2022,fbs,194,Ohio State,P1,P0,2.435792246412812,2.4205680504440723,0.015224195968739807
P1_vs_P0,frozen_through_2021,2022,fbs,195,Ohio,P1,P0,6.09428133557487,6.02880506749893,0.06547626807593954
P1_vs_P0,frozen_through_2021,2022,fbs,197,Oklahoma State,P1,P0,5.9116030818986625,5.96552483570359,-0.0539217538049277
P1_vs_P0,frozen_through_2021,2022,fbs,2,Auburn,P1,P0,4.598671247979933,4.607325251375561,-0.008654003395627718
P1_vs_P0,frozen_through_2021,2022,fbs,2005,Air Force,P1,P0,4.569644142641504,4.563622690035739,0.006021452605764921
P1_vs_P0,frozen_through_2021,2022,fbs,2006,Akron,P1,P0,2.8120514132311354,2.8119558198239445,9.559340719089704e-05
P1_vs_P0,frozen_through_2021,2022,fbs,201,Oklahoma,P1,P0,5.171488452447013,5.211978695708456,-0.040490243261443126
P1_vs_P0,frozen_through_2021,2022,fbs,202,Tulsa,P1,P0,4.469254358853919,4.480788856316943,-0.011534497463023818
P1_vs_P0,frozen_through_2021,2022,fbs,2026,App State,P1,P0,4.935003057825896,4.971719915686778,-0.03671685786088208
P1_vs_P0,frozen_through_2021,2022,fbs,2032,Arkansas State,P1,P0,3.5508056085886377,3.5622625679951003,-0.01145695940646263
P1_vs_P0,frozen_through_2021,2022,fbs,204,Oregon State,P1,P0,4.695141904750253,4.700636738054635,-0.005494833304382496
P1_vs_P0,frozen_through_2021,2022,fbs,2050,Ball State,P1,P0,4.212266339003425,4.217834679491679,-0.005568340488253831
P1_vs_P0,frozen_through_2021,2022,fbs,2084,Buffalo,P1,P0,4.803079228974857,4.783749117555263,0.01933011141959451
P1_vs_P0,frozen_through_2021,2022,fbs,21,San Diego State,P1,P0,4.849378710711245,4.872336560062439,-0.022957849351193715
P1_vs_P0,frozen_through_2021,2022,fbs,2116,UCF,P1,P0,4.591318623886455,4.578301739269189,0.013016884617266022
P1_vs_P0,frozen_through_2021,2022,fbs,2117,Central Michigan,P1,P0,4.613657962130185,4.645188040149786,-0.031530078019600616
P1_vs_P0,frozen_through_2021,2022,fbs,213,Penn State,P1,P0,3.4777019668201383,3.438213380899557,0.039488585920581354
P1_vs_P0,frozen_through_2021,2022,fbs,2132,Cincinnati,P1,P0,4.583219663523727,4.5992417796757215,-0.016022116151994226
P1_vs_P0,frozen_through_2021,2022,fbs,218,Temple,P1,P0,3.769700973616289,3.7883919116073,-0.01869093799101096
P1_vs_P0,frozen_through_2021,2022,fbs,2199,Eastern Michigan,P1,P0,4.700334861055414,4.685946075752614,0.014388785302799967
P1_vs_P0,frozen_through_2021,2022,fbs,221,Pittsburgh,P1,P0,4.26017534273365,4.252321903659109,0.007853439074541058
P1_vs_P0,frozen_through_2021,2022,fbs,2226,Florida Atlantic,P1,P0,4.4076517854193025,4.42254374023085,-0.014891954811547592
P1_vs_P0,frozen_through_2021,2022,fbs,2229,Florida International,P1,P0,2.8880447721078153,2.913676931998586,-0.025632159890770723
P1_vs_P0,frozen_through_2021,2022,fbs,2247,Georgia State,P1,P0,4.699513350763602,4.727000009283048,-0.02748665851944665
P1_vs_P0,frozen_through_2021,2022,fbs,228,Clemson,P1,P0,3.4683048285025597,3.4672747565632878,0.0010300719392719593
P1_vs_P0,frozen_through_2021,2022,fbs,2294,Iowa,P1,P0,4.50195184025908,4.58683908609797,-0.08488724583888985
P1_vs_P0,frozen_through_2021,2022,fbs,23,San José State,P1,P0,4.598556434457259,4.599968676769938,-0.0014122423126794459
P1_vs_P0,frozen_through_2021,2022,fbs,2305,Kansas,P1,P0,5.2203232719747215,5.190164547266837,0.030158724707884055
P1_vs_P0,frozen_through_2021,2022,fbs,2306,Kansas State,P1,P0,4.263225602030277,4.204362543185143,0.058863058845133764
P1_vs_P0,frozen_through_2021,2022,fbs,2309,Kent State,P1,P0,4.543699333715772,4.546075630770736,-0.00237629705496456
P1_vs_P0,frozen_through_2021,2022,fbs,2335,Liberty,P1,P0,4.701275917029608,4.683049936637022,0.01822598039258594
P1_vs_P0,frozen_through_2021,2022,fbs,2348,Louisiana Tech,P1,P0,3.613569354004388,3.6394777928515323,-0.025908438847144222
P1_vs_P0,frozen_through_2021,2022,fbs,235,Memphis,P1,P0,4.716969465071594,4.692749794852344,0.02421967021925031
P1_vs_P0,frozen_through_2021,2022,fbs,238,Vanderbilt,P1,P0,4.798190464753852,4.7738990672087995,0.024291397545052718
P1_vs_P0,frozen_through_2021,2022,fbs,239,Baylor,P1,P0,4.702428982728994,4.763976615597853,-0.06154763286885956
P1_vs_P0,frozen_through_2021,2022,fbs,2390,Miami,P1,P0,5.4635760152289645,5.459701477812015,0.0038745374169497637
P1_vs_P0,frozen_through_2021,2022,fbs,2393,Middle Tennessee,P1,P0,4.533317942381239,4.534587678880259,-0.0012697364990197357
P1_vs_P0,frozen_through_2021,2022,fbs,24,Stanford,P1,P0,4.568489619791393,4.644680233353438,-0.07619061356204515
P1_vs_P0,frozen_through_2021,2022,fbs,242,Rice,P1,P0,3.9529979900104664,3.955222931326273,-0.002224941315806639
P1_vs_P0,frozen_through_2021,2022,fbs,2426,Navy,P1,P0,5.014658356549776,4.982843415374397,0.0318149411753792
P1_vs_P0,frozen_through_2021,2022,fbs,2429,Charlotte,P1,P0,3.5180170373884216,3.637910373296775,-0.11989333590835338
P1_vs_P0,frozen_through_2021,2022,fbs,2433,UL Monroe,P1,P0,4.021722979290799,4.033512616105523,-0.011789636814723892
P1_vs_P0,frozen_through_2021,2022,fbs,2439,UNLV,P1,P0,4.1701337874157485,4.162474744541069,0.007659042874679223
P1_vs_P0,frozen_through_2021,2022,fbs,2440,Nevada,P1,P0,4.838946541322519,4.661968522078976,0.17697801924354284
P1_vs_P0,frozen_through_2021,2022,fbs,245,Texas A&M,P1,P0,5.471143252374781,5.531423352354371,-0.06028009997958961
P1_vs_P0,frozen_through_2021,2022,fbs,2459,Northern Illinois,P1,P0,5.716379163484866,5.805009420273018,-0.08863025678815184
P1_vs_P0,frozen_through_2021,2022,fbs,248,Houston,P1,P0,4.6766576490808935,4.691671072293772,-0.015013423212878685
P1_vs_P0,frozen_through_2021,2022,fbs,2483,Oregon,P1,P0,3.762913850257864,3.8192577658696956,-0.05634391561183172
P1_vs_P0,frozen_through_2021,2022,fbs,249,North Texas,P1,P0,4.564715522559631,4.595031887417244,-0.030316364857613465
P1_vs_P0,frozen_through_2021,2022,fbs,25,California,P1,P0,4.587125774163328,4.574792431714512,0.012333342448815898
P1_vs_P0,frozen_through_2021,2022,fbs,2509,Purdue,P1,P0,4.541062332815221,4.532468656736047,0.008593676079174273
P1_vs_P0,frozen_through_2021,2022,fbs,251,Texas,P1,P0,4.040104717936578,4.009894111943324,0.03021060599325409
P1_vs_P0,frozen_through_2021,2022,fbs,252,BYU,P1,P0,4.648976056840751,4.656439906223614,-0.0074638493828631525
P1_vs_P0,frozen_through_2021,2022,fbs,254,Utah,P1,P0,3.6001135310715693,3.5914607904937284,0.008652740577840934
P1_vs_P0,frozen_through_2021,2022,fbs,256,James Madison,P1,P0,5.152706036514329,5.152706036514329,0.0
P1_vs_P0,frozen_through_2021,2022,fbs,2567,SMU,P1,P0,4.673810147527025,4.670169825971927,0.0036403215550979695
P1_vs_P0,frozen_through_2021,2022,fbs,2572,Southern Miss,P1,P0,4.792354874784443,4.70801439173354,0.08434048305090247
P1_vs_P0,frozen_through_2021,2022,fbs,2579,South Carolina,P1,P0,4.263737610688169,4.2525371001997385,0.011200510488430737
P1_vs_P0,frozen_through_2021,2022,fbs,258,Virginia,P1,P0,5.022525447169299,4.915113271639063,0.10741217553023574
P1_vs_P0,frozen_through_2021,2022,fbs,259,Virginia Tech,P1,P0,4.973764588948378,5.04167281441457,-0.06790822546619157
P1_vs_P0,frozen_through_2021,2022,fbs,26,UCLA,P1,P0,4.293408450976835,4.352214296483799,-0.05880584550696444
P1_vs_P0,frozen_through_2021,2022,fbs,2628,TCU,P1,P0,5.352412230013627,5.271660197787838,0.08075203222578864
P1_vs_P0,frozen_through_2021,2022,fbs,2633,Tennessee,P1,P0,4.397175303451902,4.146817177697658,0.25035812575424377
P1_vs_P0,frozen_through_2021,2022,fbs,2636,UTSA,P1,P0,4.518844912700158,4.556749657998827,-0.03790474529866916
P1_vs_P0,frozen_through_2021,2022,fbs,2638,UTEP,P1,P0,4.050231383145102,4.070940372933611,-0.02070898978850977
P1_vs_P0,frozen_through_2021,2022,fbs,264,Washington,P1,P0,4.679570997312521,4.612455836626798,0.06711516068572276
P1_vs_P0,frozen_through_2021,2022,fbs,2641,Texas Tech,P1,P0,4.504846128783129,4.594659884836909,-0.08981375605377995
P1_vs_P0,frozen_through_2021,2022,fbs,2649,Toledo,P1,P0,4.630640762031746,4.653674040756108,-0.02303327872436256
P1_vs_P0,frozen_through_2021,2022,fbs,265,Washington State,P1,P0,4.621689937206665,4.658189824879742,-0.036499887673077325
P1_vs_P0,frozen_through_2021,2022,fbs,2653,Troy,P1,P0,6.427274707646943,6.16398448079108,0.26329022685586345
P1_vs_P0,frozen_through_2021,2022,fbs,2655,Tulane,P1,P0,5.757620755927599,5.704077246979594,0.05354350894800497
P1_vs_P0,frozen_through_2021,2022,fbs,2711,Western Michigan,P1,P0,4.146158911782464,4.152073476511537,-0.005914564729072147
P1_vs_P0,frozen_through_2021,2022,fbs,275,Wisconsin,P1,P0,4.5800579579749465,4.63083317287699,-0.05077521490204351
P1_vs_P0,frozen_through_2021,2022,fbs,2751,Wyoming,P1,P0,4.550251416847631,4.542753481440899,0.007497935406732381
P1_vs_P0,frozen_through_2021,2022,fbs,276,Marshall,P1,P0,4.702087804530432,4.744949069147763,-0.042861264617330974
P1_vs_P0,frozen_through_2021,2022,fbs,277,West Virginia,P1,P0,4.609542517788593,4.5993876238154385,0.010154893973154167
P1_vs_P0,frozen_through_2021,2022,fbs,278,Fresno State,P1,P0,4.444832229003393,4.445593418752404,-0.0007611897490109598
P1_vs_P0,frozen_through_2021,2022,fbs,290,Georgia Southern,P1,P0,4.465919449463949,4.461697987471836,0.004221461992113262
P1_vs_P0,frozen_through_2021,2022,fbs,295,Old Dominion,P1,P0,4.121600458630742,4.212165735130152,-0.09056527649940982
P1_vs_P0,frozen_through_2021,2022,fbs,30,USC,P1,P0,4.6885998523800385,4.800624228556674,-0.11202437617663552
P1_vs_P0,frozen_through_2021,2022,fbs,309,Louisiana,P1,P0,4.6982988950689215,4.705229470693929,-0.006930575625007762
P1_vs_P0,frozen_through_2021,2022,fbs,324,Coastal Carolina,P1,P0,4.761692077222427,4.749961910702248,0.011730166520178997
P1_vs_P0,frozen_through_2021,2022,fbs,326,Texas State,P1,P0,3.7791619090790287,3.7742926549995177,0.004869254079510998
P1_vs_P0,frozen_through_2021,2022,fbs,328,Utah State,P1,P0,4.7408085400889854,4.77960178490875,-0.03879324481976454
P1_vs_P0,frozen_through_2021,2022,fbs,333,Alabama,P1,P0,2.3778412045144837,2.375008875453837,0.0028323290606464546
P1_vs_P0,frozen_through_2021,2022,fbs,344,Mississippi State,P1,P0,5.207489060342699,5.151180743180818,0.05630831716188034
P1_vs_P0,frozen_through_2021,2022,fbs,349,Army,P1,P0,4.619238471634744,4.615171810998127,0.004066660636617314
P1_vs_P0,frozen_through_2021,2022,fbs,356,Illinois,P1,P0,4.714710646916903,4.805950225139174,-0.0912395782222708
P1_vs_P0,frozen_through_2021,2022,fbs,36,Colorado State,P1,P0,3.8160360710537105,3.8439561781992513,-0.02792010714554083
P1_vs_P0,frozen_through_2021,2022,fbs,38,Colorado,P1,P0,4.530726856592932,4.404199213760661,0.12652764283227125
P1_vs_P0,frozen_through_2021,2022,fbs,41,UConn,P1,P0,4.809735525122048,4.780365944626177,0.029369580495870906
P1_vs_P0,frozen_through_2021,2022,fbs,5,UAB,P1,P0,4.6498351690324,4.645358642707488,0.004476526324912022
P1_vs_P0,frozen_through_2021,2022,fbs,52,Florida State,P1,P0,4.327635161419436,4.274400700849222,0.05323446057021375
P1_vs_P0,frozen_through_2021,2022,fbs,57,Florida,P1,P0,4.488862043819163,4.492532098057185,-0.00367005423802258
P1_vs_P0,frozen_through_2021,2022,fbs,58,South Florida,P1,P0,3.9259538968023864,3.8169691200660294,0.10898477673635698
P1_vs_P0,frozen_through_2021,2022,fbs,59,Georgia Tech,P1,P0,4.568181902625674,4.552041652496538,0.016140250129136113
P1_vs_P0,frozen_through_2021,2022,fbs,6,South Alabama,P1,P0,5.742903610430117,5.88592148462204,-0.1430178741919228
P1_vs_P0,frozen_through_2021,2022,fbs,61,Georgia,P1,P0,1.615321995950592,1.4442990578291572,0.17102293812143476
P1_vs_P0,frozen_through_2021,2022,fbs,62,Hawai'i,P1,P0,3.8142305295384165,3.6885358061721374,0.12569472336627907
P1_vs_P0,frozen_through_2021,2022,fbs,66,Iowa State,P1,P0,4.741186553156588,4.748707783353402,-0.007521230196814166
P1_vs_P0,frozen_through_2021,2022,fbs,68,Boise State,P1,P0,4.530970221663572,4.5241733496271985,0.006796872036373358
P1_vs_P0,frozen_through_2021,2022,fbs,77,Northwestern,P1,P0,4.204943785125109,4.23356554002028,-0.028621754895170604
P1_vs_P0,frozen_through_2021,2022,fbs,8,Arkansas,P1,P0,4.397514227022644,4.366967262373565,0.030546964649079023
P1_vs_P0,frozen_through_2021,2022,fbs,84,Indiana,P1,P0,4.66256398061818,4.642331001586339,0.020232979031841403
P1_vs_P0,frozen_through_2021,2022,fbs,87,Notre Dame,P1,P0,3.9598770927412352,3.9585420362043275,0.0013350565369076861
P1_vs_P0,frozen_through_2021,2022,fbs,9,Arizona State,P1,P0,4.559597982512799,4.589017921697025,-0.029419939184225363
P1_vs_P0,frozen_through_2021,2022,fbs,96,Kentucky,P1,P0,4.568717240990004,4.525228048229722,0.04348919276028251
P1_vs_P0,frozen_through_2021,2022,fbs,97,Louisville,P1,P0,4.771402746756128,4.722058873112352,0.04934387364377635
P1_vs_P0,frozen_through_2021,2022,fbs,98,Western Kentucky,P1,P0,4.6753955294422616,4.664091273882896,0.01130425555936565
P1_vs_P0,frozen_through_2021,2022,fbs,99,LSU,P1,P0,3.669764766337169,3.6315642346748116,0.038200531662357484
P1_vs_P0,frozen_through_2021,2023,fbs,103,Boston College,P1,P0,4.985571840168619,4.950050886895534,0.035520953273085354
P1_vs_P0,frozen_through_2021,2023,fbs,113,Massachusetts,P1,P0,3.492001286783233,3.4686791014149385,0.023322185368294335
P1_vs_P0,frozen_through_2021,2023,fbs,12,Arizona,P1,P0,5.586420877811074,5.799891353479012,-0.21347047566793798
P1_vs_P0,frozen_through_2021,2023,fbs,120,Maryland,P1,P0,4.330575234454797,4.328178239525718,0.002396994929079632
P1_vs_P0,frozen_through_2021,2023,fbs,127,Michigan State,P1,P0,4.599895882411828,4.604964284292398,-0.005068401880570228
P1_vs_P0,frozen_through_2021,2023,fbs,130,Michigan,P1,P0,3.6186730203960713,3.5689004888366047,0.04977253155946659
P1_vs_P0,frozen_through_2021,2023,fbs,135,Minnesota,P1,P0,4.902380687324464,4.930241166562087,-0.02786047923762336
P1_vs_P0,frozen_through_2021,2023,fbs,142,Missouri,P1,P0,4.325750731048451,4.473920672848333,-0.14816994179988185
P1_vs_P0,frozen_through_2021,2023,fbs,145,Ole Miss,P1,P0,3.545415823624789,3.5800875812829456,-0.034671757658156555
P1_vs_P0,frozen_through_2021,2023,fbs,150,Duke,P1,P0,4.634804016929734,4.529608241495416,0.1051957754343178
P1_vs_P0,frozen_through_2021,2023,fbs,151,East Carolina,P1,P0,4.50337702848677,4.5543817194719844,-0.05100469098521465
P1_vs_P0,frozen_through_2021,2023,fbs,152,NC State,P1,P0,4.315742752324413,4.302525005822162,0.01321774650225116
P1_vs_P0,frozen_through_2021,2023,fbs,153,North Carolina,P1,P0,4.517042077766174,4.526870379896578,-0.009828302130403976
P1_vs_P0,frozen_through_2021,2023,fbs,154,Wake Forest,P1,P0,4.857054983240671,4.882453897424572,-0.025398914183901056
P1_vs_P0,frozen_through_2021,2023,fbs,158,Nebraska,P1,P0,4.637298150098593,4.630780009619365,0.0065181404792271636
P1_vs_P0,frozen_through_2021,2023,fbs,164,Rutgers,P1,P0,5.034268747409703,5.000458613151247,0.033810134258455804
P1_vs_P0,frozen_through_2021,2023,fbs,166,New Mexico State,P1,P0,5.227420868083286,5.334143184392841,-0.10672231630955498
P1_vs_P0,frozen_through_2021,2023,fbs,167,New Mexico,P1,P0,4.485462296208713,4.437705321716853,0.04775697449185934
P1_vs_P0,frozen_through_2021,2023,fbs,183,Syracuse,P1,P0,4.5810334999309115,4.564718464489123,0.016315035441788694
P1_vs_P0,frozen_through_2021,2023,fbs,189,Bowling Green,P1,P0,4.863519709441943,4.932558222905938,-0.0690385134639957
P1_vs_P0,frozen_through_2021,2023,fbs,193,Miami (OH),P1,P0,4.764147180668521,4.739693253680442,0.024453926988079466
P1_vs_P0,frozen_through_2021,2023,fbs,194,Ohio State,P1,P0,2.849302864099181,2.8510132217984476,-0.0017103576992667513
P1_vs_P0,frozen_through_2021,2023,fbs,195,Ohio,P1,P0,4.677049624346212,4.652793778287642,0.024255846058570008
P1_vs_P0,frozen_through_2021,2023,fbs,197,Oklahoma State,P1,P0,4.373451766256008,4.356526934548887,0.016924831707121335
P1_vs_P0,frozen_through_2021,2023,fbs,2,Auburn,P1,P0,5.130310722860077,5.047750254555827,0.08256046830425046
P1_vs_P0,frozen_through_2021,2023,fbs,2005,Air Force,P1,P0,4.777075735571739,4.760094712442514,0.016981023129224226
P1_vs_P0,frozen_through_2021,2023,fbs,2006,Akron,P1,P0,3.0838511179538153,3.137872785851551,-0.05402166789773588
P1_vs_P0,frozen_through_2021,2023,fbs,201,Oklahoma,P1,P0,3.789018384881213,3.859803980605274,-0.07078559572406107
P1_vs_P0,frozen_through_2021,2023,fbs,202,Tulsa,P1,P0,3.926114986506978,3.937777939176975,-0.011662952669996951
P1_vs_P0,frozen_through_2021,2023,fbs,2026,App State,P1,P0,4.8122247639688025,4.791410501840296,0.020814262128506122
P1_vs_P0,frozen_through_2021,2023,fbs,2032,Arkansas State,P1,P0,4.6651125429768,4.635438697073208,0.029673845903592344
P1_vs_P0,frozen_through_2021,2023,fbs,204,Oregon State,P1,P0,4.364015592705824,4.345272149331609,0.018743443374215296
P1_vs_P0,frozen_through_2021,2023,fbs,2050,Ball State,P1,P0,4.202943673937493,4.23875777982843,-0.03581410589093714
P1_vs_P0,frozen_through_2021,2023,fbs,2084,Buffalo,P1,P0,4.384410718402132,4.423953105157846,-0.03954238675571364
P1_vs_P0,frozen_through_2021,2023,fbs,21,San Diego State,P1,P0,4.385211495755721,4.399067153189066,-0.013855657433345492
P1_vs_P0,frozen_through_2021,2023,fbs,2116,UCF,P1,P0,4.730300153413404,4.6960446659493345,0.03425548746406992
P1_vs_P0,frozen_through_2021,2023,fbs,2117,Central Michigan,P1,P0,4.064205120449079,4.088734471521314,-0.024529351072235528
P1_vs_P0,frozen_through_2021,2023,fbs,213,Penn State,P1,P0,3.3426797737684053,3.389700455209886,-0.04702068144148086
P1_vs_P0,frozen_through_2021,2023,fbs,2132,Cincinnati,P1,P0,5.160361354895949,5.070201319047611,0.09016003584833765
P1_vs_P0,frozen_through_2021,2023,fbs,218,Temple,P1,P0,3.9004025719711075,4.114055822925733,-0.21365325095462584
P1_vs_P0,frozen_through_2021,2023,fbs,2199,Eastern Michigan,P1,P0,4.249710198127166,4.276652895592849,-0.02694269746568345
P1_vs_P0,frozen_through_2021,2023,fbs,221,Pittsburgh,P1,P0,5.571296660509344,5.644691586784856,-0.07339492627551181
P1_vs_P0,frozen_through_2021,2023,fbs,2226,Florida Atlantic,P1,P0,4.556643602046146,4.4867533268454975,0.06989027520064806
P1_vs_P0,frozen_through_2021,2023,fbs,2229,Florida International,P1,P0,3.2675341320702485,3.2937994503854515,-0.026265318315203068
P1_vs_P0,frozen_through_2021,2023,fbs,2247,Georgia State,P1,P0,4.680805599063822,4.7054456992628495,-0.024640100199027515
P1_vs_P0,frozen_through_2021,2023,fbs,228,Clemson,P1,P0,4.182706874495415,4.2605498039193535,-0.07784292942393822
P1_vs_P0,frozen_through_2021,2023,fbs,2294,Iowa,P1,P0,4.282876145212755,4.280556524461596,0.0023196207511588796
P1_vs_P0,frozen_through_2021,2023,fbs,23,San José State,P1,P0,5.1530701859703045,5.119056882927006,0.03401330304329875
P1_vs_P0,frozen_through_2021,2023,fbs,2305,Kansas,P1,P0,4.496830383775454,4.600485869370905,-0.10365548559545079
P1_vs_P0,frozen_through_2021,2023,fbs,2306,Kansas State,P1,P0,3.9364931382619313,3.914328396083608,0.022164742178323316
P1_vs_P0,frozen_through_2021,2023,fbs,2309,Kent State,P1,P0,4.487939214530425,4.576437450948336,-0.08849823641791055
P1_vs_P0,frozen_through_2021,2023,fbs,2335,Liberty,P1,P0,5.645459958073215,5.570586500612939,0.07487345746027607
P1_vs_P0,frozen_through_2021,2023,fbs,2348,Louisiana Tech,P1,P0,3.8979994953650627,3.7948083237239714,0.10319117164109137
P1_vs_P0,frozen_through_2021,2023,fbs,235,Memphis,P1,P0,4.663158549036697,4.642546606726903,0.02061194230979435
P1_vs_P0,frozen_through_2021,2023,fbs,238,Vanderbilt,P1,P0,4.671579110970476,4.837565351701626,-0.16598624073114987
P1_vs_P0,frozen_through_2021,2023,fbs,239,Baylor,P1,P0,5.9275926194046065,6.011975702681723,-0.08438308327711663
P1_vs_P0,frozen_through_2021,2023,fbs,2390,Miami,P1,P0,4.497337822417197,4.49715663756239,0.00018118485480744795
P1_vs_P0,frozen_through_2021,2023,fbs,2393,Middle Tennessee,P1,P0,4.187184693553607,4.17816509197859,0.0090196015750168
P1_vs_P0,frozen_through_2021,2023,fbs,24,Stanford,P1,P0,4.501979481435738,4.57023515250672,-0.06825567107098252
P1_vs_P0,frozen_through_2021,2023,fbs,242,Rice,P1,P0,4.50772077088635,4.496810536642861,0.01091023424348947
P1_vs_P0,frozen_through_2021,2023,fbs,2426,Navy,P1,P0,4.219445695539928,4.222462182476392,-0.003016486936464169
P1_vs_P0,frozen_through_2021,2023,fbs,2429,Charlotte,P1,P0,3.1534108173112454,3.1483322566851832,0.005078560626062156
P1_vs_P0,frozen_through_2021,2023,fbs,2433,UL Monroe,P1,P0,2.890379399648184,2.8337356775471365,0.05664372210104762
P1_vs_P0,frozen_through_2021,2023,fbs,2439,UNLV,P1,P0,5.8734599142405814,5.8164450188543935,0.05701489538618798
P1_vs_P0,frozen_through_2021,2023,fbs,2440,Nevada,P1,P0,3.008991266080302,3.024096799044734,-0.015105532964431845
P1_vs_P0,frozen_through_2021,2023,fbs,245,Texas A&M,P1,P0,4.477215018870272,4.467760231292441,0.00945478757783036
P1_vs_P0,frozen_through_2021,2023,fbs,2459,Northern Illinois,P1,P0,4.655826369995369,4.633507699067497,0.022318670927871764
P1_vs_P0,frozen_through_2021,2023,fbs,248,Houston,P1,P0,4.7717298323584485,4.714511352287374,0.05721848007107422
P1_vs_P0,frozen_through_2021,2023,fbs,2483,Oregon,P1,P0,3.04929892567731,3.152777335593782,-0.10347840991647184
P1_vs_P0,frozen_through_2021,2023,fbs,249,North Texas,P1,P0,4.39920990156813,4.361221364305034,0.03798853726309659
P1_vs_P0,frozen_through_2021,2023,fbs,25,California,P1,P0,4.5941561218897,4.594733700559231,-0.0005775786695307872
P1_vs_P0,frozen_through_2021,2023,fbs,2509,Purdue,P1,P0,4.674167626824902,4.682837689587291,-0.008670062762389463
P1_vs_P0,frozen_through_2021,2023,fbs,251,Texas,P1,P0,3.421410976279495,3.377515480086497,0.04389549619299782
P1_vs_P0,frozen_through_2021,2023,fbs,252,BYU,P1,P0,4.824344311827511,4.853691416530597,-0.02934710470308577
P1_vs_P0,frozen_through_2021,2023,fbs,2534,Sam Houston,P1,P0,3.7465049735338756,3.7465049735338756,0.0
P1_vs_P0,frozen_through_2021,2023,fbs,254,Utah,P1,P0,4.487849121901608,4.514407701657815,-0.026558579756207124
P1_vs_P0,frozen_through_2021,2023,fbs,256,James Madison,P1,P0,7.880755318602591,7.783967570697849,0.09678774790474254
P1_vs_P0,frozen_through_2021,2023,fbs,2567,SMU,P1,P0,4.7063231393310705,4.781626606666649,-0.07530346733557813
P1_vs_P0,frozen_through_2021,2023,fbs,2572,Southern Miss,P1,P0,4.45115222745109,4.446038232773553,0.00511399467753737
P1_vs_P0,frozen_through_2021,2023,fbs,2579,South Carolina,P1,P0,4.787502275528974,4.730265418658006,0.05723685687096758
P1_vs_P0,frozen_through_2021,2023,fbs,258,Virginia,P1,P0,4.518664843793784,4.527075121133518,-0.008410277339733874
P1_vs_P0,frozen_through_2021,2023,fbs,259,Virginia Tech,P1,P0,4.58196113990382,4.6114347386080174,-0.029473598704197634
P1_vs_P0,frozen_through_2021,2023,fbs,26,UCLA,P1,P0,4.461179001795572,4.4460052337780125,0.015173768017559652
