season,subdivision,team_id,team_name,transfer_in_prior_usage_sum,audit_incoming_fbs_transfers,audit_offensive_applicable_transfers,audit_offensive_resolved_applicable,audit_offensive_legitimate_zero_non_applicable,audit_offensive_unresolved_applicable,audit_offensive_undetermined,transfer_in_prior_defensive_impact_db_sum,transfer_in_prior_defensive_impact_db_available,audit_incoming_db_transfers,audit_resolved_db_transfers,audit_unresolved_db_transfers,audit_db_feature_status
2026,fbs,201,Oklahoma,0.484,16,7,7,4,0,5,-1.1016658202271334,1,2,2,0,complete
2026,fbs,202,Tulsa,1.03,21,9,9,7,0,5,0.9560524252856196,1,3,3,0,complete
2026,fbs,2026,App State,0.785,38,8,8,17,0,13,0.0,0,10,9,1,unavailable_unresolved_db_transfer
2026,fbs,2032,Arkansas State,0.151,25,2,2,13,0,10,2.4796174748013864,1,5,5,0,complete
2026,fbs,204,Oregon State,0.927,20,5,5,4,0,11,0.44666248664989927,1,1,1,0,complete
2026,fbs,2050,Ball State,0.238,24,4,4,12,0,8,0.0,0,3,2,1,unavailable_unresolved_db_transfer
2026,fbs,2084,Buffalo,0.041,16,1,1,3,0,12,-0.3731034770932677,1,1,1,0,complete
2026,fbs,21,San Diego State,0.174,26,3,3,9,0,14,3.3313492982417845,1,7,7,0,complete
2026,fbs,2116,UCF,1.0130000000000001,32,5,5,17,0,10,0.0,0,6,4,2,unavailable_unresolved_db_transfer
2026,fbs,2117,Central Michigan,0.35100000000000003,12,3,3,3,0,6,2.6695416323319505,1,3,3,0,complete
2026,fbs,213,Penn State,1.22,38,10,9,20,1,8,0.0,0,7,6,1,unavailable_unresolved_db_transfer
2026,fbs,2132,Cincinnati,1.4280000000000002,22,8,8,10,0,4,0.0,0,6,5,1,unavailable_unresolved_db_transfer
2026,fbs,218,Temple,0.239,23,5,5,11,0,7,0.1169692382634421,1,3,3,0,complete
2026,fbs,2199,Eastern Michigan,0.03,12,2,1,1,1,9,0.0,1,0,0,0,no_incoming_db_transfer
2026,fbs,221,Pittsburgh,0.27399999999999997,16,5,5,6,0,5,0.0,0,2,1,1,unavailable_unresolved_db_transfer
2026,fbs,2226,Florida Atlantic,0.28400000000000003,22,5,5,9,0,8,-0.8276450733169174,1,4,4,0,complete
2026,fbs,2229,Florida International,0.5559999999999999,17,3,3,10,0,4,0.0,0,4,3,1,unavailable_unresolved_db_transfer
2026,fbs,2247,Georgia State,1.164,33,7,7,4,0,22,0.0,0,8,4,4,unavailable_unresolved_db_transfer
2026,fbs,228,Clemson,0.113,11,1,1,7,0,3,2.345613531120895,1,4,4,0,complete
2026,fbs,2294,Iowa,0.496,15,2,2,5,0,8,3.100129596139086,1,4,4,0,complete
2026,fbs,23,San José State,0.447,17,4,4,5,0,8,0.0,0,5,3,2,unavailable_unresolved_db_transfer
2026,fbs,2305,Kansas,1.235,31,6,6,18,0,7,0.0,0,6,5,1,unavailable_unresolved_db_transfer
2026,fbs,2306,Kansas State,0.628,26,6,6,12,0,8,4.299075610462948,1,4,4,0,complete
2026,fbs,2309,Kent State,0.018,11,1,1,4,0,6,-0.11808826585095816,1,2,2,0,complete
2026,fbs,2335,Liberty,0.866,26,9,9,6,0,11,0.0,0,6,4,2,unavailable_unresolved_db_transfer
2026,fbs,2348,Louisiana Tech,0.08,11,1,1,3,0,7,-0.42257386622823273,1,4,4,0,complete
2026,fbs,235,Memphis,0.537,51,9,9,28,0,14,0.0,0,10,7,3,unavailable_unresolved_db_transfer
2026,fbs,238,Vanderbilt,0.22899999999999998,18,4,4,10,0,4,1.4799739109455348,1,3,3,0,complete
2026,fbs,239,Baylor,0.8170000000000001,31,6,5,18,1,7,0.0,0,7,6,1,unavailable_unresolved_db_transfer
2026,fbs,2390,Miami,0.7709999999999999,12,3,3,7,0,2,1.3567469561263537,1,1,1,0,complete
2026,fbs,2393,Middle Tennessee,0.027,19,1,1,5,0,13,0.0,0,4,2,2,unavailable_unresolved_db_transfer
2026,fbs,24,Stanford,0.131,6,1,1,3,0,2,0.9630294215153656,1,1,1,0,complete
2026,fbs,242,Rice,0.279,20,4,4,13,0,3,0.0,0,6,4,2,unavailable_unresolved_db_transfer
2026,fbs,2426,Navy,0.0,0,0,0,0,0,0,0.0,1,0,0,0,no_incoming_db_transfer
2026,fbs,2429,Charlotte,0.666,19,9,9,5,0,5,-1.1016658202271334,1,2,2,0,complete
2026,fbs,2433,UL Monroe,0.094,20,3,3,9,0,8,0.0,0,5,2,3,unavailable_unresolved_db_transfer
2026,fbs,2439,UNLV,0.564,16,4,4,7,0,5,1.600041026874097,1,2,2,0,complete
2026,fbs,2440,Nevada,0.46499999999999997,14,3,3,5,0,6,0.35977760236776035,1,3,3,0,complete
2026,fbs,2449,North Dakota State,0.0,3,0,0,1,0,2,0.0,1,0,0,0,no_incoming_db_transfer
2026,fbs,245,Texas A&M,0.178,19,3,3,11,0,5,1.3851546962626848,1,2,2,0,complete
2026,fbs,2459,Northern Illinois,0.631,7,1,1,0,0,6,0.0,0,2,1,1,unavailable_unresolved_db_transfer
2026,fbs,248,Houston,0.367,18,6,6,6,0,6,2.468122780587415,1,1,1,0,complete
2026,fbs,2483,Oregon,0.73,13,3,3,8,0,2,1.0244910242932468,1,3,3,0,complete
2026,fbs,249,North Texas,1.42,49,10,10,24,0,15,0.0,0,12,10,2,unavailable_unresolved_db_transfer
2026,fbs,25,California,1.316,32,9,9,16,0,7,0.0,0,5,4,1,unavailable_unresolved_db_transfer
2026,fbs,2509,Purdue,0.8140000000000001,29,8,8,13,0,8,0.0,0,6,5,1,unavailable_unresolved_db_transfer
2026,fbs,251,Texas,0.794,22,5,5,11,0,6,1.1084653047763724,1,2,2,0,complete
2026,fbs,252,BYU,0.062,9,2,2,4,0,3,1.0083013694001783,1,1,1,0,complete
2026,fbs,2534,Sam Houston,0.017,20,1,1,11,0,8,0.0,0,3,2,1,unavailable_unresolved_db_transfer
2026,fbs,254,Utah,0.761,17,7,7,6,0,4,0.15051801035557077,1,4,4,0,complete
2026,fbs,256,James Madison,0.717,37,7,7,7,0,23,0.0,0,5,2,3,unavailable_unresolved_db_transfer
2026,fbs,2567,SMU,0.633,15,5,5,10,0,0,-1.1016658202271334,1,2,2,0,complete
2026,fbs,2572,Southern Miss,0.368,38,6,6,15,0,17,0.0,0,13,12,1,unavailable_unresolved_db_transfer
2026,fbs,2579,South Carolina,0.664,25,6,6,10,0,9,1.4094746761893082,1,1,1,0,complete
2026,fbs,258,Virginia,1.667,31,10,10,15,0,6,9.498285458937637,1,8,8,0,complete
2026,fbs,259,Virginia Tech,0.74,28,6,6,16,0,6,0.0,0,4,2,2,unavailable_unresolved_db_transfer
2026,fbs,26,UCLA,1.108,42,10,10,20,0,12,0.0,0,8,7,1,unavailable_unresolved_db_transfer
2026,fbs,2623,Missouri State,0.65,19,5,5,7,0,7,0.0,0,2,1,1,unavailable_unresolved_db_transfer
2026,fbs,2628,TCU,0.557,12,2,2,5,0,5,5.3080800185286545,1,3,3,0,complete
2026,fbs,2633,Tennessee,0.5690000000000001,21,5,5,11,0,5,5.205217846155789,1,8,8,0,complete
2026,fbs,2636,UTSA,0.097,22,3,3,11,0,8,0.0,0,3,2,1,unavailable_unresolved_db_transfer
2026,fbs,2638,UTEP,1.05,21,5,5,2,0,14,0.0,0,4,3,1,unavailable_unresolved_db_transfer
2026,fbs,264,Washington,0.507,14,3,3,9,0,2,1.9268759944967444,1,1,1,0,complete
2026,fbs,2641,Texas Tech,1.405,22,7,7,11,0,4,0.0,0,2,1,1,unavailable_unresolved_db_transfer
2026,fbs,2649,Toledo,0.543,33,6,6,6,0,21,0.0,0,8,7,1,unavailable_unresolved_db_transfer
2026,fbs,265,Washington State,0.709,28,5,5,14,0,9,4.160141549150728,1,7,7,0,complete
2026,fbs,2653,Troy,0.07,14,2,2,8,0,4,1.3773118319957047,1,3,3,0,complete
2026,fbs,2655,Tulane,0.23,20,5,5,11,0,4,-0.37020721717696453,1,3,3,0,complete
2026,fbs,2711,Western Michigan,0.06,14,2,2,8,0,4,-1.7271492681915024,1,4,4,0,complete
2026,fbs,275,Wisconsin,1.195,33,10,10,14,0,9,0.0,0,6,5,1,unavailable_unresolved_db_transfer
2026,fbs,2751,Wyoming,1.1239999999999999,19,3,3,2,0,14,0.0,0,5,2,3,unavailable_unresolved_db_transfer
2026,fbs,276,Marshall,0.5619999999999999,28,6,6,12,0,10,-1.4378652379154127,1,6,6,0,complete
2026,fbs,277,West Virginia,0.748,34,6,5,19,1,9,0.0,0,8,6,2,unavailable_unresolved_db_transfer
2026,fbs,278,Fresno State,0.265,13,3,3,7,0,3,-0.8270261100407543,1,3,3,0,complete
2026,fbs,290,Georgia Southern,0.5579999999999999,17,5,5,5,0,7,0.9935711715606641,1,4,4,0,complete
2026,fbs,295,Old Dominion,0.542,15,2,2,4,0,9,-0.08856838023809299,1,1,1,0,complete
2026,fbs,30,USC,0.09,9,2,2,6,0,1,0.5601888268332762,1,2,2,0,complete
2026,fbs,309,Louisiana,0.201,5,1,1,1,0,3,0.0,1,0,0,0,no_incoming_db_transfer
2026,fbs,324,Coastal Carolina,0.464,32,8,8,9,0,15,0.0,0,5,4,1,unavailable_unresolved_db_transfer
2026,fbs,326,Texas State,0.14300000000000002,18,2,2,9,0,7,0.0,0,3,2,1,unavailable_unresolved_db_transfer
2026,fbs,328,Utah State,0.269,29,4,4,15,0,10,0.0,0,7,6,1,unavailable_unresolved_db_transfer
2026,fbs,333,Alabama,0.125,17,3,3,7,0,7,0.07993405238891788,1,1,1,0,complete
2026,fbs,338,Kennesaw State,1.1400000000000001,29,6,6,13,0,10,0.0,0,7,6,1,unavailable_unresolved_db_transfer
2026,fbs,344,Mississippi State,0.7,27,4,4,13,0,10,0.0,0,7,6,1,unavailable_unresolved_db_transfer
2026,fbs,349,Army,0.0,0,0,0,0,0,0,0.0,1,0,0,0,no_incoming_db_transfer
2026,fbs,356,Illinois,0.782,20,5,5,9,0,6,1.3125457211197316,1,3,3,0,complete
2026,fbs,36,Colorado State,0.314,32,5,5,17,0,10,2.396688369522217,1,4,4,0,complete
2026,fbs,38,Colorado,0.754,42,8,8,23,0,11,8.060305261434271,1,10,10,0,complete
2026,fbs,41,UConn,0.982,53,12,12,29,0,12,-1.1751954195869614,1,9,9,0,complete
2026,fbs,48,Delaware,0.22299999999999998,13,2,2,6,0,5,0.0,0,3,2,1,unavailable_unresolved_db_transfer
2026,fbs,5,UAB,0.181,38,2,2,24,0,12,0.0,0,12,10,2,unavailable_unresolved_db_transfer
2026,fbs,52,Florida State,1.2409999999999999,22,4,4,11,0,7,5.086590517965948,1,4,4,0,complete
2026,fbs,55,Jacksonville State,0.20700000000000002,21,2,2,5,0,14,0.0,0,5,3,2,unavailable_unresolved_db_transfer
2026,fbs,57,Florida,0.9269999999999999,27,9,9,13,0,5,4.541066228514968,1,4,4,0,complete
2026,fbs,58,South Florida,1.816,44,13,13,20,0,11,3.709428946906905,1,9,9,0,complete
2026,fbs,59,Georgia Tech,0.699,19,7,7,9,0,3,1.6683430976387439,1,1,1,0,complete
2026,fbs,6,South Alabama,0.046,12,1,1,5,0,6,-0.8851186763011722,1,2,2,0,complete
2026,fbs,61,Georgia,0.20199999999999999,9,2,2,6,0,1,4.367623261570885,1,4,4,0,complete
2026,fbs,62,Hawai'i,0.153,16,4,4,6,0,6,-0.2905018898850715,1,4,4,0,complete
2026,fbs,66,Iowa State,1.736,48,11,11,20,0,17,0.0,0,11,10,1,unavailable_unresolved_db_transfer
2026,fbs,68,Boise State,0.246,11,3,3,4,0,4,0.8315356123398858,1,4,4,0,complete
2026,fbs,77,Northwestern,1.246,17,5,5,6,0,6,3.124748894768046,1,2,2,0,complete
2026,fbs,8,Arkansas,0.8140000000000001,42,9,9,23,0,10,0.0,0,11,10,1,unavailable_unresolved_db_transfer
2026,fbs,84,Indiana,1.028,17,5,5,8,0,4,0.0,0,4,3,1,unavailable_unresolved_db_transfer
2026,fbs,87,Notre Dame,0.06,7,2,2,4,0,1,-0.12935783407134138,1,2,2,0,complete
2026,fbs,9,Arizona State,1.207,24,7,7,13,0,4,4.431176649709171,1,7,7,0,complete
2026,fbs,96,Kentucky,0.513,31,7,7,15,0,9,0.0,0,6,5,1,unavailable_unresolved_db_transfer
2026,fbs,97,Louisville,1.2710000000000001,33,11,11,13,0,9,-0.15540368519341846,1,6,6,0,complete
2026,fbs,98,Western Kentucky,0.362,19,4,4,4,0,11,0.0,0,2,1,1,unavailable_unresolved_db_transfer
2026,fbs,99,LSU,1.986,41,14,12,15,2,12,0.999028400723723,1,4,4,0,complete
